radius,%_gp_captured,%_pface_covered,SC3PA,total_gp
100,0.14814814814814814,0.09918886245355926,1.4935966043315787,81
100,0.07317073170731707,0.13499634001517477,0.5420201147608301,82
160,0.20987654320987653,0.21516100039263597,0.9754395212277499,81
160,0.23170731707317074,0.29435327161842867,0.7871742542530116,82
220,0.3333333333333333,0.3496835858519549,0.9532427223348602,81
220,0.35365853658536583,0.4492561247111658,0.7872091600592841,82
280,0.4074074074074074,0.48046920309369856,0.8479365686377967,81
280,0.4878048780487805,0.5639055542656071,0.8650471242193473,82
340,0.4691358024691358,0.5867676231146737,0.7995257133971948,81
340,0.5365853658536586,0.6495928253959459,0.8260333933438906,82
400,0.5185185185185185,0.6658010342515447,0.7787889952760546,81
400,0.5853658536585366,0.7067008563902728,0.8283078311925386,82
460,0.6296296296296297,0.7260877143396489,0.8671536746800014,81
460,0.6341463414634146,0.7517626060994141,0.8435460028448851,82
520,0.7037037037037037,0.7753916142411144,0.9075461879897005,81
520,0.6829268292682927,0.7928506481526088,0.8613562098480396,82
580,0.7195121951219512,0.8285668759277894,0.8683815585993296,82
580,0.7283950617283951,0.8144626500633407,0.8943259235665967,81
640,0.7317073170731707,0.8600876122005375,0.8507357933002833,82
640,0.7901234567901234,0.8488308069754811,0.9308373945633037,81
700,0.8888888888888888,0.8794216775997556,1.0107652694154328,81
700,0.7926829268292683,0.8880188685812167,0.8926419864205519,82
