og_coord,astar_coord,dist
"(3136.0, 2864.0)","(3024.0, 2928.0)",288.0
"(3248.0, 1776.0)","(2992.0, 1776.0)",288.0
"(2208.0, 768.0)","(2464.0, 768.0)",288.0
"(2768.0, 1344.0)","(3024.0, 1328.0)",304.0
"(3840.0, 2576.0)","(3680.0, 2464.0)",304.0
"(3088.0, 3136.0)","(3024.0, 2928.0)",304.0
"(3200.0, 1840.0)","(2992.0, 1776.0)",304.0
"(2800.0, 1280.0)","(3024.0, 1328.0)",304.0
"(3728.0, 2032.0)","(3888.0, 1920.0)",304.0
"(3392.0, 1200.0)","(3536.0, 1088.0)",304.0
"(2784.0, 3360.0)","(2992.0, 3424.0)",304.0
"(3152.0, 2512.0)","(3424.0, 2512.0)",304.0
"(1392.0, 3200.0)","(1552.0, 3088.0)",304.0
"(3120.0, 1920.0)","(2992.0, 1776.0)",304.0
"(2768.0, 1312.0)","(3024.0, 1328.0)",304.0
"(3120.0, 1920.0)","(2992.0, 1776.0)",304.0
"(2208.0, 784.0)","(2464.0, 768.0)",304.0
"(2784.0, 1360.0)","(3024.0, 1328.0)",304.0
"(4080.0, 1840.0)","(3888.0, 1920.0)",304.0
"(3120.0, 2848.0)","(3024.0, 2928.0)",320.0
"(3072.0, 3168.0)","(3024.0, 2928.0)",320.0
"(3136.0, 2512.0)","(3424.0, 2512.0)",320.0
"(4080.0, 1824.0)","(3888.0, 1920.0)",320.0
"(3712.0, 2032.0)","(3888.0, 1920.0)",320.0
"(1728.0, 2976.0)","(1552.0, 3088.0)",320.0
"(3280.0, 2896.0)","(3024.0, 2928.0)",320.0
"(1376.0, 3200.0)","(1552.0, 3088.0)",320.0
"(3712.0, 2208.0)","(3680.0, 2464.0)",320.0
"(3184.0, 1872.0)","(2992.0, 1776.0)",320.0
"(3408.0, 2240.0)","(3424.0, 2512.0)",320.0
"(4112.0, 1856.0)","(3888.0, 1920.0)",320.0
"(3072.0, 3632.0)","(2992.0, 3424.0)",320.0
"(2896.0, 1168.0)","(3024.0, 1328.0)",320.0
"(2192.0, 752.0)","(2464.0, 768.0)",320.0
"(3264.0, 1072.0)","(3536.0, 1088.0)",320.0
"(2352.0, 928.0)","(2464.0, 768.0)",320.0
"(3152.0, 3088.0)","(3024.0, 2928.0)",320.0
"(3440.0, 2240.0)","(3424.0, 2512.0)",320.0
"(3168.0, 1904.0)","(2992.0, 1776.0)",336.0
"(1360.0, 2976.0)","(1552.0, 3088.0)",336.0
"(4064.0, 1824.0)","(3888.0, 1920.0)",336.0
"(2928.0, 3136.0)","(3024.0, 2928.0)",336.0
"(4128.0, 1856.0)","(3888.0, 1920.0)",336.0
"(1424.0, 3248.0)","(1552.0, 3088.0)",336.0
"(2736.0, 1344.0)","(3024.0, 1328.0)",336.0
"(2720.0, 1328.0)","(3024.0, 1328.0)",336.0
"(2960.0, 3168.0)","(3024.0, 2928.0)",336.0
"(3760.0, 2240.0)","(3680.0, 2464.0)",336.0
"(2928.0, 3184.0)","(2992.0, 3424.0)",336.0
"(2752.0, 3360.0)","(2992.0, 3424.0)",336.0
"(2944.0, 1104.0)","(3024.0, 1328.0)",336.0
"(1328.0, 3008.0)","(1552.0, 3088.0)",336.0
"(2032.0, 2624.0)","(2240.0, 2528.0)",336.0
"(3120.0, 3600.0)","(2992.0, 3424.0)",336.0
"(3152.0, 1920.0)","(2992.0, 1776.0)",336.0
"(3136.0, 1936.0)","(2992.0, 1776.0)",336.0
"(1776.0, 3008.0)","(1552.0, 3088.0)",336.0
"(2848.0, 1184.0)","(3024.0, 1328.0)",352.0
"(2816.0, 1632.0)","(2992.0, 1776.0)",352.0
"(1808.0, 3024.0)","(1552.0, 3088.0)",352.0
"(3424.0, 2192.0)","(3424.0, 2512.0)",352.0
"(1760.0, 2976.0)","(1552.0, 3088.0)",352.0
"(2736.0, 1296.0)","(3024.0, 1328.0)",352.0
"(1792.0, 3008.0)","(1552.0, 3088.0)",352.0
"(2016.0, 2624.0)","(2240.0, 2528.0)",352.0
"(2032.0, 2640.0)","(2240.0, 2528.0)",352.0
"(2864.0, 1584.0)","(2992.0, 1776.0)",352.0
"(2336.0, 944.0)","(2464.0, 768.0)",352.0
"(4048.0, 1760.0)","(3888.0, 1920.0)",352.0
"(3216.0, 1872.0)","(2992.0, 1776.0)",352.0
"(2128.0, 3456.0)","(2304.0, 3600.0)",352.0
"(3136.0, 3136.0)","(3024.0, 2928.0)",352.0
"(3776.0, 2224.0)","(3680.0, 2464.0)",368.0
"(3088.0, 3184.0)","(2992.0, 3424.0)",368.0
"(3104.0, 2496.0)","(3424.0, 2512.0)",368.0
"(3200.0, 1904.0)","(2992.0, 1776.0)",368.0
"(2656.0, 912.0)","(2464.0, 768.0)",368.0
"(3248.0, 1040.0)","(3536.0, 1088.0)",368.0
"(4064.0, 1808.0)","(3888.0, 1920.0)",368.0
"(2896.0, 1120.0)","(3024.0, 1328.0)",368.0
"(2816.0, 1200.0)","(3024.0, 1328.0)",368.0
"(3728.0, 2176.0)","(3680.0, 2464.0)",368.0
"(3888.0, 2592.0)","(3680.0, 2464.0)",368.0
"(1760.0, 2960.0)","(1552.0, 3088.0)",368.0
"(3408.0, 2192.0)","(3424.0, 2512.0)",368.0
"(2864.0, 1152.0)","(3024.0, 1328.0)",368.0
"(4112.0, 1808.0)","(3888.0, 1920.0)",368.0
"(3760.0, 2208.0)","(3680.0, 2464.0)",368.0
"(2720.0, 1296.0)","(3024.0, 1328.0)",368.0
"(4144.0, 1824.0)","(3888.0, 1920.0)",384.0
"(4128.0, 1808.0)","(3888.0, 1920.0)",384.0
"(3120.0, 1072.0)","(3024.0, 1328.0)",384.0
"(3088.0, 2528.0)","(3424.0, 2512.0)",384.0
"(3232.0, 1040.0)","(3536.0, 1088.0)",384.0
"(4240.0, 1920.0)","(3888.0, 1920.0)",384.0
"(3296.0, 1408.0)","(3024.0, 1328.0)",384.0
"(3184.0, 1136.0)","(3024.0, 1328.0)",384.0
"(4224.0, 1936.0)","(3888.0, 1920.0)",384.0
"(1792.0, 3200.0)","(1552.0, 3088.0)",384.0
"(3936.0, 2368.0)","(3680.0, 2464.0)",384.0
"(2816.0, 1184.0)","(3024.0, 1328.0)",384.0
"(3264.0, 1440.0)","(3024.0, 1328.0)",384.0
"(2064.0, 3488.0)","(2304.0, 3600.0)",384.0
"(4224.0, 1904.0)","(3888.0, 1920.0)",384.0
"(2624.0, 3680.0)","(2496.0, 3904.0)",384.0
"(3968.0, 2400.0)","(3680.0, 2464.0)",384.0
"(3184.0, 1088.0)","(3536.0, 1088.0)",384.0
"(3376.0, 2208.0)","(3424.0, 2512.0)",384.0
"(3984.0, 2400.0)","(3680.0, 2464.0)",400.0
"(3968.0, 2384.0)","(3680.0, 2464.0)",400.0
"(2432.0, 3504.0)","(2304.0, 3600.0)",400.0
"(4064.0, 1728.0)","(3888.0, 1920.0)",400.0
"(3072.0, 2496.0)","(3424.0, 2512.0)",400.0
"(2848.0, 1136.0)","(3024.0, 1328.0)",400.0
"(2608.0, 3648.0)","(2496.0, 3904.0)",400.0
"(3792.0, 2208.0)","(3680.0, 2464.0)",400.0
"(3904.0, 1088.0)","(3536.0, 1088.0)",400.0
"(2736.0, 864.0)","(2464.0, 768.0)",400.0
"(2112.0, 3424.0)","(2304.0, 3600.0)",400.0
"(3280.0, 1440.0)","(3024.0, 1328.0)",400.0
"(2688.0, 912.0)","(2464.0, 768.0)",400.0
"(3776.0, 2192.0)","(3680.0, 2464.0)",400.0
"(4064.0, 1728.0)","(3888.0, 1920.0)",400.0
"(4048.0, 1792.0)","(3888.0, 1920.0)",400.0
"(3152.0, 1088.0)","(3024.0, 1328.0)",400.0
"(2176.0, 3360.0)","(2304.0, 3600.0)",400.0
"(2832.0, 1136.0)","(3024.0, 1328.0)",416.0
"(3984.0, 2544.0)","(3680.0, 2464.0)",416.0
"(1920.0, 3072.0)","(1552.0, 3088.0)",416.0
"(2896.0, 1072.0)","(3024.0, 1328.0)",416.0
"(4144.0, 1792.0)","(3888.0, 1920.0)",416.0
"(2240.0, 2912.0)","(2240.0, 2528.0)",416.0
"(2880.0, 1088.0)","(3024.0, 1328.0)",416.0
"(2448.0, 3504.0)","(2304.0, 3600.0)",416.0
"(3152.0, 1072.0)","(3024.0, 1328.0)",416.0
"(2112.0, 3408.0)","(2304.0, 3600.0)",416.0
"(3360.0, 2192.0)","(3424.0, 2512.0)",416.0
"(3840.0, 1168.0)","(3536.0, 1088.0)",416.0
"(2080.0, 3440.0)","(2304.0, 3600.0)",416.0
"(2848.0, 1120.0)","(3024.0, 1328.0)",416.0
"(2208.0, 2880.0)","(2240.0, 2528.0)",416.0
"(3856.0, 1152.0)","(3536.0, 1088.0)",416.0
"(1952.0, 3088.0)","(1552.0, 3088.0)",432.0
"(3136.0, 1040.0)","(3024.0, 1328.0)",432.0
"(2224.0, 2912.0)","(2240.0, 2528.0)",432.0
"(2768.0, 864.0)","(2464.0, 768.0)",432.0
"(2704.0, 928.0)","(2464.0, 768.0)",432.0
"(3728.0, 2816.0)","(3680.0, 2464.0)",432.0
"(4000.0, 2544.0)","(3680.0, 2464.0)",432.0
"(3920.0, 1104.0)","(3536.0, 1088.0)",432.0
"(3200.0, 1552.0)","(3024.0, 1328.0)",432.0
"(4112.0, 2096.0)","(3888.0, 1920.0)",432.0
"(4272.0, 1936.0)","(3888.0, 1920.0)",432.0
"(3328.0, 2208.0)","(3424.0, 2512.0)",432.0
"(4224.0, 1984.0)","(3888.0, 1920.0)",432.0
"(3168.0, 1568.0)","(2992.0, 1776.0)",432.0
"(4048.0, 1776.0)","(3888.0, 1920.0)",432.0
"(4080.0, 1696.0)","(3888.0, 1920.0)",448.0
"(4112.0, 2112.0)","(3888.0, 1920.0)",448.0
"(2848.0, 1088.0)","(3024.0, 1328.0)",448.0
"(3984.0, 2576.0)","(3680.0, 2464.0)",448.0
"(3072.0, 2448.0)","(3424.0, 2512.0)",448.0
"(3312.0, 2208.0)","(3424.0, 2512.0)",448.0
"(4160.0, 1776.0)","(3888.0, 1920.0)",448.0
"(2336.0, 1056.0)","(2464.0, 768.0)",448.0
"(2832.0, 1104.0)","(3024.0, 1328.0)",448.0
"(2000.0, 2704.0)","(2240.0, 2528.0)",448.0
"(2288.0, 2896.0)","(2240.0, 2528.0)",448.0
"(2176.0, 2880.0)","(2240.0, 2528.0)",448.0
"(3040.0, 2480.0)","(3424.0, 2512.0)",448.0
"(2224.0, 2928.0)","(2240.0, 2528.0)",448.0
"(3312.0, 2192.0)","(3424.0, 2512.0)",464.0
"(2816.0, 1536.0)","(3024.0, 1328.0)",464.0
"(3136.0, 1008.0)","(3024.0, 1328.0)",464.0
"(1968.0, 3504.0)","(2304.0, 3600.0)",464.0
"(4064.0, 1760.0)","(3888.0, 1920.0)",464.0
"(1936.0, 3136.0)","(1552.0, 3088.0)",464.0
"(3856.0, 1200.0)","(3536.0, 1088.0)",464.0
"(2832.0, 1088.0)","(3024.0, 1328.0)",464.0
"(2000.0, 2720.0)","(2240.0, 2528.0)",464.0
"(2752.0, 1488.0)","(3024.0, 1328.0)",464.0
"(3728.0, 2848.0)","(3680.0, 2464.0)",464.0
"(2320.0, 2880.0)","(2240.0, 2528.0)",464.0
"(2192.0, 2912.0)","(2240.0, 2528.0)",464.0
"(3952.0, 1072.0)","(3536.0, 1088.0)",464.0
"(4096.0, 1696.0)","(3888.0, 1920.0)",464.0
"(3024.0, 2464.0)","(3424.0, 2512.0)",480.0
"(1920.0, 3008.0)","(1552.0, 3088.0)",480.0
"(1936.0, 3152.0)","(1552.0, 3088.0)",480.0
"(2192.0, 2928.0)","(2240.0, 2528.0)",480.0
"(3088.0, 2400.0)","(3424.0, 2512.0)",480.0
"(2784.0, 896.0)","(2464.0, 768.0)",480.0
"(2352.0, 2864.0)","(2240.0, 2528.0)",480.0
"(2752.0, 1504.0)","(3024.0, 1328.0)",480.0
"(2176.0, 2912.0)","(2240.0, 2528.0)",480.0
"(2800.0, 880.0)","(2464.0, 768.0)",480.0
"(3392.0, 1392.0)","(3536.0, 1088.0)",480.0
"(3920.0, 1152.0)","(3536.0, 1088.0)",480.0
"(4160.0, 2096.0)","(3888.0, 1920.0)",480.0
"(2768.0, 912.0)","(2464.0, 768.0)",480.0
"(2320.0, 2896.0)","(2240.0, 2528.0)",480.0
"(4304.0, 1888.0)","(3888.0, 1920.0)",480.0
"(2800.0, 1104.0)","(3024.0, 1328.0)",480.0
"(4080.0, 2176.0)","(3888.0, 1920.0)",480.0
"(2752.0, 944.0)","(2464.0, 768.0)",496.0
"(3728.0, 2880.0)","(3680.0, 2464.0)",496.0
"(3408.0, 1424.0)","(3536.0, 1088.0)",496.0
"(1968.0, 3040.0)","(1552.0, 3088.0)",496.0
"(3760.0, 2848.0)","(3680.0, 2464.0)",496.0
"(4288.0, 1856.0)","(3888.0, 1920.0)",496.0
"(2304.0, 2928.0)","(2240.0, 2528.0)",496.0
"(3024.0, 2448.0)","(3424.0, 2512.0)",496.0
"(3424.0, 3392.0)","(2992.0, 3424.0)",496.0
"(3296.0, 2176.0)","(3424.0, 2512.0)",496.0
"(4096.0, 1744.0)","(3888.0, 1920.0)",496.0
"(3440.0, 1456.0)","(3536.0, 1088.0)",496.0
"(3024.0, 2432.0)","(3424.0, 2512.0)",512.0
"(2800.0, 912.0)","(2464.0, 768.0)",512.0
"(4000.0, 1104.0)","(3536.0, 1088.0)",512.0
"(3392.0, 1424.0)","(3536.0, 1088.0)",512.0
"(2272.0, 1056.0)","(2464.0, 768.0)",512.0
"(3904.0, 1200.0)","(3536.0, 1088.0)",512.0
"(2592.0, 1280.0)","(3024.0, 1328.0)",512.0
"(2800.0, 1072.0)","(3024.0, 1328.0)",512.0
"(3792.0, 2832.0)","(3680.0, 2464.0)",512.0
"(1968.0, 3024.0)","(1552.0, 3088.0)",512.0
"(1968.0, 3152.0)","(1552.0, 3088.0)",512.0
"(4096.0, 1632.0)","(3888.0, 1920.0)",528.0
"(2592.0, 2672.0)","(2240.0, 2528.0)",528.0
"(3328.0, 1616.0)","(2992.0, 1776.0)",528.0
