og_coord,astar_coord,dist
"(2640.0, 2176.0)","(3024.0, 2928.0)",1168.0
"(2656.0, 2144.0)","(3424.0, 2512.0)",1168.0
"(480.0, 3024.0)","(1552.0, 3088.0)",1168.0
"(4448.0, 1216.0)","(3536.0, 1088.0)",1200.0
"(2752.0, 2000.0)","(3424.0, 2512.0)",1216.0
"(4304.0, 3040.0)","(3680.0, 2464.0)",1232.0
"(2752.0, 1984.0)","(3424.0, 2512.0)",1232.0
"(2592.0, 2144.0)","(3024.0, 2928.0)",1248.0
"(4320.0, 3056.0)","(3680.0, 2464.0)",1264.0
"(2736.0, 2016.0)","(2992.0, 1776.0)",1264.0
"(4352.0, 3040.0)","(3680.0, 2464.0)",1280.0
"(4336.0, 3072.0)","(3680.0, 2464.0)",1296.0
"(4368.0, 3040.0)","(3680.0, 2464.0)",1296.0
"(496.0, 2864.0)","(1552.0, 3088.0)",1312.0
"(4384.0, 3040.0)","(3680.0, 2464.0)",1312.0
"(4352.0, 3088.0)","(3680.0, 2464.0)",1328.0
"(320.0, 3008.0)","(1552.0, 3088.0)",1344.0
"(320.0, 2992.0)","(1552.0, 3088.0)",1360.0
"(288.0, 3008.0)","(1552.0, 3088.0)",1376.0
"(304.0, 2992.0)","(1552.0, 3088.0)",1376.0
"(368.0, 2928.0)","(1552.0, 3088.0)",1376.0
"(352.0, 2944.0)","(1552.0, 3088.0)",1376.0
"(304.0, 2976.0)","(1552.0, 3088.0)",1392.0
"(4576.0, 2928.0)","(3680.0, 2464.0)",1392.0
"(320.0, 2960.0)","(1552.0, 3088.0)",1392.0
"(288.0, 2992.0)","(1552.0, 3088.0)",1392.0
"(352.0, 2912.0)","(1552.0, 3088.0)",1408.0
"(4432.0, 3104.0)","(3680.0, 2464.0)",1424.0
"(272.0, 2976.0)","(1552.0, 3088.0)",1424.0
"(336.0, 2912.0)","(1552.0, 3088.0)",1424.0
"(4576.0, 2976.0)","(3680.0, 2464.0)",1440.0
"(4624.0, 2960.0)","(3680.0, 2464.0)",1472.0
"(256.0, 2944.0)","(1552.0, 3088.0)",1472.0
"(288.0, 2912.0)","(1552.0, 3088.0)",1472.0
"(256.0, 2912.0)","(1552.0, 3088.0)",1504.0
"(4848.0, 2768.0)","(3680.0, 2464.0)",1504.0
"(4672.0, 2960.0)","(3680.0, 2464.0)",1520.0
"(4656.0, 2976.0)","(3680.0, 2464.0)",1520.0
"(4720.0, 2880.0)","(3680.0, 2464.0)",1520.0
"(4848.0, 2784.0)","(3680.0, 2464.0)",1520.0
"(4688.0, 2944.0)","(3680.0, 2464.0)",1520.0
"(4688.0, 2960.0)","(3680.0, 2464.0)",1536.0
"(4640.0, 3008.0)","(3680.0, 2464.0)",1536.0
"(4736.0, 2880.0)","(3680.0, 2464.0)",1536.0
"(4752.0, 2848.0)","(3680.0, 2464.0)",1584.0
"(4752.0, 2816.0)","(3680.0, 2464.0)",1616.0
"(4800.0, 2832.0)","(3680.0, 2464.0)",1648.0
"(4832.0, 2816.0)","(3680.0, 2464.0)",1696.0
"(5088.0, 1808.0)","(3888.0, 1920.0)",1952.0
"(5376.0, 1920.0)","(3888.0, 1920.0)",2352.0
