radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.112,0.1,0.07356607885285213,1.359322143565941,30
0.18,0.26666666666666666,0.18029259586781202,1.479077193287421,30
0.247,0.4,0.30959353578495324,1.2920166404179834,30
0.315,0.5,0.4401569321390279,1.135958480922141,30
0.382,0.5,0.5545910890121091,0.9015651529681951,30
0.45,0.5,0.641296529702289,0.7796705218912013,30
0.517,0.6,0.7084818748619649,0.846881227719339,30
0.585,0.7666666666666667,0.7622281458870563,1.0058230869636084,30
0.652,0.8333333333333334,0.8017119448472084,1.0394423317369326,30
0.72,0.8333333333333334,0.8304652432094735,1.0034535944126641,30
0.787,0.8333333333333334,0.8524404100131625,0.9775854400432118,30
