radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.112,0.1,0.07356607885285213,1.359322143565941,30
0.18,0.16666666666666666,0.18029259586781202,0.9244232458046381,30
0.247,0.26666666666666666,0.30959353578495324,0.8613444269453222,30
0.315,0.4666666666666667,0.4401569321390279,1.0602279155273315,30
0.382,0.5,0.5545910890121091,0.9015651529681951,30
0.45,0.6,0.641296529702289,0.9356046262694416,30
0.517,0.6333333333333333,0.7084818748619649,0.8939301848148579,30
0.585,0.7333333333333333,0.7622281458870563,0.9620916483999732,30
0.652,0.7666666666666667,0.8017119448472084,0.956286945197978,30
0.72,0.7666666666666667,0.8304652432094735,0.9231773068596509,30
0.787,0.7666666666666667,0.8524404100131625,0.8993786048397548,30
