og_coord,closest_coord,dist
"(1391.0, 186.0)","(1391.0, 186.0)",0.0
"(1255.0, 190.0)","(1255.0, 190.0)",0.0
"(587.0, 209.0)","(587.0, 209.0)",0.0
"(1265.0, 215.0)","(1265.0, 215.0)",0.0
"(1038.0, 226.0)","(1038.0, 226.0)",0.0
"(1911.0, 232.0)","(1911.0, 232.0)",0.0
"(1735.0, 244.0)","(1735.0, 244.0)",0.0
"(1631.0, 262.0)","(1631.0, 262.0)",0.0
"(1043.0, 263.0)","(1043.0, 263.0)",0.0
"(310.0, 181.0)","(310.0, 181.0)",0.0
"(3542.0, 284.0)","(3542.0, 284.0)",0.0
"(666.0, 338.0)","(666.0, 338.0)",0.0
"(1764.0, 339.0)","(1764.0, 339.0)",0.0
"(1875.0, 346.0)","(1875.0, 346.0)",0.0
"(677.0, 354.0)","(677.0, 354.0)",0.0
"(3252.0, 356.0)","(3252.0, 356.0)",0.0
"(3277.0, 360.0)","(3277.0, 360.0)",0.0
"(696.0, 369.0)","(696.0, 369.0)",0.0
"(676.0, 380.0)","(676.0, 380.0)",0.0
"(2328.0, 392.0)","(2328.0, 392.0)",0.0
"(2190.0, 417.0)","(2190.0, 417.0)",0.0
"(930.0, 326.0)","(930.0, 326.0)",0.0
"(1740.0, 426.0)","(1740.0, 426.0)",0.0
"(1707.0, 179.0)","(1707.0, 179.0)",0.0
"(1741.0, 170.0)","(1741.0, 170.0)",0.0
"(946.0, 32.0)","(946.0, 32.0)",0.0
"(1817.0, 39.0)","(1817.0, 39.0)",0.0
"(508.0, 42.0)","(508.0, 42.0)",0.0
"(2985.0, 67.0)","(2985.0, 67.0)",0.0
"(1371.0, 80.0)","(1371.0, 80.0)",0.0
"(374.0, 87.0)","(374.0, 87.0)",0.0
"(1055.0, 87.0)","(1055.0, 87.0)",0.0
"(128.0, 98.0)","(128.0, 98.0)",0.0
"(3250.0, 105.0)","(3250.0, 105.0)",0.0
"(3328.0, 110.0)","(3328.0, 110.0)",0.0
"(1518.0, 176.0)","(1518.0, 176.0)",0.0
"(713.0, 111.0)","(713.0, 111.0)",0.0
"(2784.0, 124.0)","(2784.0, 124.0)",0.0
"(1078.0, 128.0)","(1078.0, 128.0)",0.0
"(1099.0, 133.0)","(1099.0, 133.0)",0.0
"(3523.0, 134.0)","(3523.0, 134.0)",0.0
"(3559.0, 136.0)","(3559.0, 136.0)",0.0
"(493.0, 140.0)","(493.0, 140.0)",0.0
"(3000.0, 154.0)","(3000.0, 154.0)",0.0
"(1103.0, 158.0)","(1103.0, 158.0)",0.0
"(1480.0, 168.0)","(1480.0, 168.0)",0.0
"(991.0, 169.0)","(991.0, 169.0)",0.0
"(1005.0, 119.0)","(1005.0, 119.0)",0.0
"(1237.0, 445.0)","(1237.0, 445.0)",0.0
"(701.0, 450.0)","(701.0, 450.0)",0.0
"(1269.0, 450.0)","(1269.0, 450.0)",0.0
"(1331.0, 573.0)","(1331.0, 573.0)",0.0
"(1622.0, 572.0)","(1622.0, 572.0)",0.0
"(1599.0, 585.0)","(1599.0, 585.0)",0.0
"(3570.0, 587.0)","(3570.0, 587.0)",0.0
"(1620.0, 592.0)","(1620.0, 592.0)",0.0
"(1324.0, 595.0)","(1324.0, 595.0)",0.0
"(1585.0, 599.0)","(1585.0, 599.0)",0.0
"(1591.0, 621.0)","(1591.0, 621.0)",0.0
"(219.0, 634.0)","(219.0, 634.0)",0.0
"(1359.0, 637.0)","(1359.0, 637.0)",0.0
"(139.0, 567.0)","(139.0, 567.0)",0.0
"(822.0, 646.0)","(822.0, 646.0)",0.0
"(800.0, 656.0)","(800.0, 656.0)",0.0
"(781.0, 659.0)","(781.0, 659.0)",0.0
"(809.0, 673.0)","(809.0, 673.0)",0.0
"(759.0, 673.0)","(759.0, 673.0)",0.0
"(3084.0, 681.0)","(3084.0, 681.0)",0.0
"(774.0, 707.0)","(774.0, 707.0)",0.0
"(739.0, 708.0)","(739.0, 708.0)",0.0
"(2866.0, 720.0)","(2866.0, 720.0)",0.0
"(1702.0, 749.0)","(1702.0, 749.0)",0.0
"(3124.0, 758.0)","(3124.0, 758.0)",0.0
"(925.0, 650.0)","(925.0, 650.0)",0.0
"(1306.0, 565.0)","(1306.0, 565.0)",0.0
