og_coord,starfish_coord,dist
"(2273.0, 2372.0)","(2273.0, 2374.0)",2.0
"(1836.0, 3154.0)","(1838.0, 3152.0)",2.828
"(1865.0, 2725.0)","(1869.0, 2722.0)",5.0
"(2230.0, 1851.0)","(2225.0, 1846.0)",7.071
"(1599.0, 585.0)","(1605.0, 592.0)",9.22
"(2893.0, 3527.0)","(2893.0, 3539.0)",12.0
"(2834.0, 2161.0)","(2836.0, 2149.0)",12.166
"(2839.0, 2115.0)","(2843.0, 2127.0)",12.649
"(1369.0, 987.0)","(1365.0, 999.0)",12.649
"(494.0, 2943.0)","(485.0, 2952.0)",12.728
"(1417.0, 3320.0)","(1408.0, 3311.0)",12.728
"(3307.0, 2530.0)","(3305.0, 2516.0)",14.142
"(2409.0, 1420.0)","(2423.0, 1422.0)",14.142
"(1620.0, 592.0)","(1605.0, 592.0)",15.0
"(2964.0, 1924.0)","(2979.0, 1920.0)",15.524
"(3447.0, 2567.0)","(3447.0, 2550.0)",17.0
"(2590.0, 2166.0)","(2592.0, 2183.0)",17.117
"(2270.0, 2391.0)","(2273.0, 2374.0)",17.263
"(677.0, 2386.0)","(681.0, 2403.0)",17.464
"(2909.0, 3529.0)","(2893.0, 3539.0)",18.868
"(197.0, 1638.0)","(218.0, 1640.0)",21.095
"(1585.0, 599.0)","(1605.0, 592.0)",21.19
"(1718.0, 3031.0)","(1704.0, 3048.0)",22.023
"(3290.0, 2533.0)","(3305.0, 2516.0)",22.672
"(1625.0, 823.0)","(1646.0, 814.0)",22.847
"(1813.0, 2198.0)","(1825.0, 2218.0)",23.324
"(763.0, 909.0)","(747.0, 926.0)",23.345
"(2571.0, 3737.0)","(2587.0, 3754.0)",23.345
"(2965.0, 1939.0)","(2979.0, 1920.0)",23.601
"(3321.0, 2264.0)","(3312.0, 2242.0)",23.77
"(2234.0, 2811.0)","(2222.0, 2790.0)",24.187
"(1782.0, 3580.0)","(1761.0, 3568.0)",24.187
"(2617.0, 2183.0)","(2592.0, 2183.0)",25.0
"(3422.0, 2359.0)","(3447.0, 2359.0)",25.0
"(3428.0, 3674.0)","(3451.0, 3684.0)",25.08
"(1629.0, 795.0)","(1646.0, 814.0)",25.495
"(1702.0, 749.0)","(1728.0, 752.0)",26.173
"(1622.0, 572.0)","(1605.0, 592.0)",26.249
"(2043.0, 3005.0)","(2024.0, 3024.0)",26.87
"(2251.0, 1873.0)","(2270.0, 1893.0)",27.586
"(676.0, 380.0)","(656.0, 399.0)",27.586
"(2521.0, 3614.0)","(2495.0, 3604.0)",27.857
"(219.0, 634.0)","(238.0, 613.0)",28.32
"(1986.0, 3221.0)","(1988.0, 3192.0)",29.069
