og_coord,starfish_coord,dist
"(1598.0, 2153.0)","(1593.0, 2156.0)",5.831
"(3353.0, 2359.0)","(3341.0, 2358.0)",12.042
"(1563.0, 826.0)","(1575.0, 824.0)",12.166
"(3482.0, 1895.0)","(3481.0, 1882.0)",13.038
"(789.0, 994.0)","(803.0, 994.0)",14.0
"(3222.0, 1851.0)","(3227.0, 1837.0)",14.866
"(1237.0, 445.0)","(1227.0, 434.0)",14.866
"(2089.0, 2788.0)","(2091.0, 2803.0)",15.133
"(1417.0, 3320.0)","(1432.0, 3322.0)",15.133
"(786.0, 1450.0)","(773.0, 1440.0)",16.401
"(2209.0, 1452.0)","(2221.0, 1440.0)",16.971
"(2658.0, 1740.0)","(2666.0, 1755.0)",17.0
"(1402.0, 1583.0)","(1419.0, 1584.0)",17.029
"(1418.0, 1428.0)","(1403.0, 1418.0)",18.028
"(3480.0, 1863.0)","(3481.0, 1882.0)",19.026
"(2284.0, 3530.0)","(2280.0, 3511.0)",19.416
"(3577.0, 1976.0)","(3593.0, 1988.0)",20.0
"(2396.0, 3469.0)","(2416.0, 3472.0)",20.224
"(1546.0, 2120.0)","(1563.0, 2131.0)",20.248
"(1951.0, 3321.0)","(1962.0, 3303.0)",21.095
"(1764.0, 339.0)","(1783.0, 349.0)",21.471
"(2411.0, 2188.0)","(2433.0, 2187.0)",22.023
"(1905.0, 1639.0)","(1924.0, 1651.0)",22.472
"(2077.0, 2374.0)","(2091.0, 2355.0)",23.601
"(1607.0, 1431.0)","(1608.0, 1407.0)",24.021
"(197.0, 1638.0)","(180.0, 1656.0)",24.759
"(1629.0, 795.0)","(1629.0, 770.0)",25.0
"(1440.0, 3298.0)","(1432.0, 3322.0)",25.298
"(2416.0, 2168.0)","(2433.0, 2187.0)",25.495
"(1055.0, 87.0)","(1031.0, 97.0)",26.0
"(3117.0, 2379.0)","(3093.0, 2389.0)",26.0
"(2385.0, 2164.0)","(2389.0, 2191.0)",27.295
"(2043.0, 3005.0)","(2066.0, 3020.0)",27.459
"(1625.0, 823.0)","(1600.0, 810.0)",28.178
"(3084.0, 681.0)","(3063.0, 700.0)",28.32
"(2657.0, 3055.0)","(2678.0, 3036.0)",28.32
"(3335.0, 1108.0)","(3318.0, 1084.0)",29.411
"(2591.0, 1926.0)","(2588.0, 1896.0)",30.15
"(3414.0, 1191.0)","(3385.0, 1181.0)",30.676
"(2637.0, 2130.0)","(2668.0, 2132.0)",31.064
"(2471.0, 3205.0)","(2452.0, 3230.0)",31.401
"(2028.0, 3648.0)","(2007.0, 3624.0)",31.89
"(1566.0, 793.0)","(1575.0, 824.0)",32.28
"(2203.0, 1413.0)","(2221.0, 1440.0)",32.45
"(2655.0, 1700.0)","(2686.0, 1710.0)",32.573
"(1588.0, 779.0)","(1600.0, 810.0)",33.242
"(3514.0, 2437.0)","(3526.0, 2406.0)",33.242
"(2265.0, 3541.0)","(2280.0, 3511.0)",33.541
"(2834.0, 2161.0)","(2807.0, 2181.0)",33.601
"(1548.0, 804.0)","(1575.0, 824.0)",33.601
"(2990.0, 913.0)","(2964.0, 935.0)",34.059
"(1005.0, 119.0)","(1031.0, 97.0)",34.059
"(128.0, 98.0)","(123.0, 64.0)",34.366
"(3522.0, 2292.0)","(3498.0, 2317.0)",34.655
"(508.0, 42.0)","(538.0, 60.0)",34.986
"(473.0, 1061.0)","(475.0, 1026.0)",35.057
"(2060.0, 2820.0)","(2091.0, 2803.0)",35.355
"(3406.0, 1152.0)","(3385.0, 1181.0)",35.805
"(1578.0, 1428.0)","(1608.0, 1407.0)",36.62
"(2678.0, 3073.0)","(2678.0, 3036.0)",37.0
"(637.0, 1070.0)","(602.0, 1058.0)",37.0
"(2774.0, 2164.0)","(2807.0, 2181.0)",37.121
"(2017.0, 3660.0)","(2007.0, 3624.0)",37.363
"(117.0, 1398.0)","(106.0, 1362.0)",37.643
"(1997.0, 3287.0)","(1962.0, 3303.0)",38.484
"(1986.0, 3221.0)","(1947.0, 3220.0)",39.013
"(1911.0, 232.0)","(1910.0, 193.0)",39.013
"(836.0, 973.0)","(803.0, 994.0)",39.115
"(2590.0, 2166.0)","(2556.0, 2186.0)",39.446
"(3188.0, 1830.0)","(3227.0, 1837.0)",39.623
"(3412.0, 2234.0)","(3430.0, 2198.0)",40.249
"(1603.0, 1447.0)","(1608.0, 1407.0)",40.311
"(319.0, 1621.0)","(305.0, 1659.0)",40.497
"(2079.0, 2842.0)","(2091.0, 2803.0)",40.804
"(1632.0, 1374.0)","(1608.0, 1407.0)",40.804
"(489.0, 987.0)","(475.0, 1026.0)",41.437
"(2095.0, 3642.0)","(2130.0, 3666.0)",42.438
"(2521.0, 3614.0)","(2560.0, 3596.0)",42.953
"(1741.0, 170.0)","(1784.0, 167.0)",43.105
"(1613.0, 1364.0)","(1608.0, 1407.0)",43.29
"(981.0, 1922.0)","(947.0, 1895.0)",43.417
"(646.0, 1053.0)","(602.0, 1058.0)",44.283
"(2829.0, 810.0)","(2824.0, 854.0)",44.283
"(448.0, 2859.0)","(453.0, 2903.0)",44.283
"(2866.0, 720.0)","(2904.0, 697.0)",44.418
"(1269.0, 450.0)","(1227.0, 434.0)",44.944
"(2300.0, 2195.0)","(2345.0, 2195.0)",45.0
"(1817.0, 39.0)","(1848.0, 72.0)",45.277
"(2702.0, 1667.0)","(2686.0, 1710.0)",45.88
"(3381.0, 2335.0)","(3341.0, 2358.0)",46.141
"(3236.0, 2006.0)","(3251.0, 2050.0)",46.487
"(1922.0, 1754.0)","(1968.0, 1747.0)",46.53
"(3385.0, 2184.0)","(3430.0, 2198.0)",47.127
"(3133.0, 2364.0)","(3093.0, 2389.0)",47.17
"(2557.0, 1932.0)","(2588.0, 1896.0)",47.508
"(659.0, 1085.0)","(690.0, 1121.0)",47.508
"(2005.0, 2701.0)","(2023.0, 2746.0)",48.466
"(1807.0, 3182.0)","(1836.0, 3221.0)",48.6
"(1647.0, 490.0)","(1606.0, 463.0)",49.092
"(2409.0, 1420.0)","(2452.0, 1444.0)",49.244
"(517.0, 3247.0)","(559.0, 3220.0)",49.93
"(1043.0, 263.0)","(1026.0, 310.0)",49.98
"(1253.0, 477.0)","(1227.0, 434.0)",50.249
"(1103.0, 158.0)","(1151.0, 175.0)",50.922
"(822.0, 646.0)","(844.0, 600.0)",50.99
"(1496.0, 1167.0)","(1537.0, 1136.0)",51.4
"(959.0, 2540.0)","(914.0, 2565.0)",51.478
"(2368.0, 3451.0)","(2416.0, 3472.0)",52.393
"(2205.0, 1390.0)","(2221.0, 1440.0)",52.498
"(2619.0, 2153.0)","(2668.0, 2132.0)",53.31
"(1631.0, 262.0)","(1612.0, 212.0)",53.488
"(2059.0, 3637.0)","(2007.0, 3624.0)",53.6
"(2080.0, 3646.0)","(2130.0, 3666.0)",53.852
"(1079.0, 520.0)","(1061.0, 469.0)",54.083
"(1059.0, 1637.0)","(1041.0, 1586.0)",54.083
"(2811.0, 3381.0)","(2843.0, 3337.0)",54.406
"(2310.0, 3557.0)","(2280.0, 3511.0)",54.918
"(2174.0, 1394.0)","(2122.0, 1375.0)",55.362
"(2361.0, 3518.0)","(2401.0, 3557.0)",55.866
"(1734.0, 2575.0)","(1773.0, 2615.0)",55.866
"(1421.0, 1273.0)","(1467.0, 1241.0)",56.036
"(1078.0, 128.0)","(1031.0, 97.0)",56.303
"(3190.0, 985.0)","(3183.0, 929.0)",56.436
"(1989.0, 2700.0)","(2023.0, 2746.0)",57.201
"(494.0, 2943.0)","(453.0, 2903.0)",57.28
"(1913.0, 1725.0)","(1968.0, 1747.0)",59.237
"(3407.0, 2253.0)","(3430.0, 2198.0)",59.615
"(1294.0, 1540.0)","(1340.0, 1502.0)",59.666
"(1688.0, 1660.0)","(1630.0, 1644.0)",60.166
"(629.0, 1112.0)","(602.0, 1058.0)",60.374
"(3089.0, 3717.0)","(3075.0, 3658.0)",60.638
"(2617.0, 2183.0)","(2556.0, 2186.0)",61.074
"(2536.0, 823.0)","(2544.0, 884.0)",61.522
"(3191.0, 1887.0)","(3227.0, 1837.0)",61.612
"(2703.0, 1832.0)","(2667.0, 1782.0)",61.612
"(374.0, 87.0)","(312.0, 89.0)",62.032
"(2050.0, 1373.0)","(2112.0, 1385.0)",63.151
"(3544.0, 2273.0)","(3498.0, 2317.0)",63.655
"(753.0, 1139.0)","(690.0, 1121.0)",65.521
"(2549.0, 1990.0)","(2492.0, 2023.0)",65.863
"(646.0, 1530.0)","(708.0, 1507.0)",66.129
"(1255.0, 190.0)","(1318.0, 168.0)",66.731
"(1099.0, 133.0)","(1151.0, 175.0)",66.843
"(1836.0, 3154.0)","(1836.0, 3221.0)",67.0
"(3124.0, 758.0)","(3057.0, 761.0)",67.067
"(1813.0, 462.0)","(1877.0, 440.0)",67.676
"(1641.0, 1198.0)","(1619.0, 1134.0)",67.676
"(670.0, 1056.0)","(690.0, 1121.0)",68.007
"(1682.0, 1688.0)","(1630.0, 1644.0)",68.118
"(2971.0, 3508.0)","(3007.0, 3566.0)",68.264
"(1440.0, 872.0)","(1371.0, 874.0)",69.029
"(2016.0, 3226.0)","(1947.0, 3220.0)",69.26
"(3138.0, 2228.0)","(3132.0, 2297.0)",69.26
"(293.0, 1774.0)","(362.0, 1764.0)",69.721
"(1740.0, 426.0)","(1704.0, 366.0)",69.971
"(806.0, 524.0)","(876.0, 519.0)",70.178
"(679.0, 453.0)","(610.0, 440.0)",70.214
"(1875.0, 346.0)","(1818.0, 304.0)",70.803
"(1265.0, 215.0)","(1318.0, 168.0)",70.838
"(2484.0, 1130.0)","(2417.0, 1153.0)",70.838
"(2995.0, 3496.0)","(3007.0, 3566.0)",71.021
"(800.0, 656.0)","(844.0, 600.0)",71.218
"(696.0, 369.0)","(763.0, 344.0)",71.512
"(2597.0, 2029.0)","(2651.0, 2076.0)",71.589
"(1251.0, 1483.0)","(1320.0, 1463.0)",71.84
"(2738.0, 1919.0)","(2793.0, 1966.0)",72.346
"(1596.0, 535.0)","(1606.0, 463.0)",72.691
"(1409.0, 1285.0)","(1467.0, 1241.0)",72.801
"(1223.0, 1015.0)","(1153.0, 994.0)",73.082
"(2839.0, 2115.0)","(2807.0, 2181.0)",73.348
"(3542.0, 284.0)","(3473.0, 259.0)",73.389
"(2569.0, 2017.0)","(2499.0, 2041.0)",74.0
"(383.0, 2874.0)","(312.0, 2895.0)",74.041
"(2383.0, 2265.0)","(2389.0, 2191.0)",74.243
"(2656.0, 1926.0)","(2588.0, 1896.0)",74.324
"(2794.0, 3276.0)","(2730.0, 3314.0)",74.431
"(974.0, 2692.0)","(926.0, 2635.0)",74.518
"(2508.0, 3542.0)","(2560.0, 3596.0)",74.967
"(3332.0, 2166.0)","(3319.0, 2092.0)",75.133
"(1391.0, 186.0)","(1318.0, 168.0)",75.186
"(3465.0, 2650.0)","(3500.0, 2717.0)",75.591
"(2169.0, 2677.0)","(2111.0, 2628.0)",75.928
"(1702.0, 749.0)","(1629.0, 770.0)",75.961
"(2664.0, 1892.0)","(2588.0, 1896.0)",76.105
"(2784.0, 124.0)","(2854.0, 154.0)",76.158
"(3400.0, 1843.0)","(3418.0, 1917.0)",76.158
"(493.0, 1100.0)","(475.0, 1026.0)",76.158
"(2864.0, 3121.0)","(2790.0, 3140.0)",76.4
"(2181.0, 3723.0)","(2130.0, 3666.0)",76.485
"(763.0, 909.0)","(690.0, 932.0)",76.538
"(1814.0, 2182.0)","(1812.0, 2105.0)",77.026
"(1446.0, 856.0)","(1371.0, 874.0)",77.13
"(1028.0, 1938.0)","(976.0, 1995.0)",77.156
"(3367.0, 1859.0)","(3418.0, 1917.0)",77.233
"(1478.0, 1399.0)","(1403.0, 1418.0)",77.369
"(1653.0, 1344.0)","(1608.0, 1407.0)",77.421
"(1707.0, 179.0)","(1784.0, 167.0)",77.929
"(1371.0, 80.0)","(1297.0, 55.0)",78.109
"(2519.0, 1933.0)","(2588.0, 1896.0)",78.294
"(1619.0, 1226.0)","(1571.0, 1164.0)",78.409
"(3216.0, 1979.0)","(3251.0, 2050.0)",79.158
"(3517.0, 3432.0)","(3589.0, 3469.0)",80.951
"(809.0, 673.0)","(844.0, 600.0)",80.957
"(3422.0, 2359.0)","(3341.0, 2358.0)",81.006
"(1342.0, 2122.0)","(1390.0, 2188.0)",81.609
