radius,%_gp_captured,%_img_covered,LCPI,total_gp
100.0,0.06666666666666667,0.07473021786156392,0.8920978497636016,30
160.0,0.16666666666666666,0.1711606591446392,0.9737440104494169,30
220.0,0.3333333333333333,0.28828590809224464,1.156259546431505,30
280.0,0.36666666666666664,0.4104181847982637,0.8933977105495396,30
340.0,0.4,0.5223606646376096,0.765754443393057,30
400.0,0.4666666666666667,0.6278564867155841,0.7432696428890514,30
460.0,0.5333333333333333,0.7199423844705979,0.740800020720428,30
520.0,0.7,0.7892974528919878,0.8868646382111056,30
580.0,0.7666666666666667,0.8409231593694761,0.9116964589743408,30
640.0,0.8333333333333334,0.8802005085799648,0.9467539784517477,30
700.0,0.9,0.9110389452014293,0.9878831247999079,30
