radius,%_gp_captured,%_img_covered,LCPI,total_gp
100.0,0.03333333333333333,0.07473021786156392,0.4460489248818008,30
160.0,0.03333333333333333,0.1711606591446392,0.1947488020898834,30
220.0,0.06666666666666667,0.28828590809224464,0.23125190928630102,30
280.0,0.1,0.4104181847982637,0.24365392105896538,30
340.0,0.16666666666666666,0.5223606646376096,0.3190643514137737,30
400.0,0.3333333333333333,0.6278564867155841,0.5309068877778939,30
460.0,0.4,0.7199423844705979,0.5556000155403211,30
520.0,0.5666666666666667,0.7892974528919878,0.7179380404566094,30
580.0,0.6,0.8409231593694761,0.7135015765886146,30
640.0,0.6333333333333333,0.8802005085799648,0.7195330236233282,30
700.0,0.6333333333333333,0.9110389452014293,0.6951770137480833,30
