og_coord,starfish_coord,dist
"(3343.0, 3653.0)","(3343.0, 3655.0)",2.0
"(2909.0, 3529.0)","(2908.0, 3527.0)",2.236
"(2234.0, 2811.0)","(2229.0, 2810.0)",5.099
"(2190.0, 417.0)","(2185.0, 411.0)",7.81
"(1404.0, 986.0)","(1396.0, 983.0)",8.544
"(800.0, 656.0)","(799.0, 665.0)",9.055
"(629.0, 1112.0)","(619.0, 1108.0)",10.77
"(1258.0, 978.0)","(1255.0, 967.0)",11.402
"(448.0, 2859.0)","(439.0, 2851.0)",12.042
"(2110.0, 1578.0)","(2105.0, 1567.0)",12.083
"(1596.0, 535.0)","(1606.0, 527.0)",12.806
"(809.0, 673.0)","(799.0, 665.0)",12.806
"(1059.0, 1637.0)","(1058.0, 1624.0)",13.038
"(666.0, 338.0)","(679.0, 336.0)",13.153
"(3517.0, 3432.0)","(3503.0, 3432.0)",14.0
"(2484.0, 1130.0)","(2480.0, 1116.0)",14.56
"(2893.0, 3527.0)","(2908.0, 3527.0)",15.0
"(2411.0, 2188.0)","(2396.0, 2191.0)",15.297
"(1814.0, 2182.0)","(1811.0, 2167.0)",15.297
"(3523.0, 134.0)","(3508.0, 138.0)",15.524
"(2549.0, 1990.0)","(2533.0, 1992.0)",16.125
"(2261.0, 3736.0)","(2268.0, 3721.0)",16.553
"(822.0, 646.0)","(820.0, 629.0)",17.117
"(677.0, 354.0)","(679.0, 336.0)",18.111
"(2965.0, 1939.0)","(2979.0, 1951.0)",18.439
"(2167.0, 2272.0)","(2171.0, 2254.0)",18.439
"(2985.0, 3332.0)","(3002.0, 3340.0)",18.788
"(781.0, 659.0)","(799.0, 665.0)",18.974
"(2702.0, 1667.0)","(2722.0, 1669.0)",20.1
"(3035.0, 3303.0)","(3025.0, 3285.0)",20.591
"(3330.0, 3671.0)","(3343.0, 3655.0)",20.616
"(930.0, 326.0)","(921.0, 307.0)",21.024
"(1865.0, 2725.0)","(1847.0, 2714.0)",21.095
"(3350.0, 3635.0)","(3343.0, 3655.0)",21.19
"(2416.0, 2168.0)","(2420.0, 2147.0)",21.378
"(1903.0, 3698.0)","(1893.0, 3717.0)",21.471
"(2967.0, 1984.0)","(2988.0, 1979.0)",21.587
"(1598.0, 2153.0)","(1604.0, 2174.0)",21.84
"(1253.0, 477.0)","(1275.0, 475.0)",22.091
