og_coord,starfish_coord,dist
"(1103.0, 158.0)","(1053.0, 159.0)",50.01
"(473.0, 1061.0)","(429.0, 1037.0)",50.12
"(292.0, 452.0)","(330.0, 419.0)",50.329
"(3222.0, 1851.0)","(3246.0, 1896.0)",51.0
"(1055.0, 87.0)","(1106.0, 86.0)",51.01
"(448.0, 2859.0)","(443.0, 2910.0)",51.245
"(855.0, 1455.0)","(804.0, 1449.0)",51.352
"(2656.0, 2362.0)","(2687.0, 2403.0)",51.4
"(2368.0, 3451.0)","(2419.0, 3442.0)",51.788
"(1620.0, 592.0)","(1667.0, 615.0)",52.326
"(1596.0, 535.0)","(1544.0, 529.0)",52.345
"(1480.0, 168.0)","(1429.0, 156.0)",52.393
"(1496.0, 1167.0)","(1548.0, 1175.0)",52.612
"(3350.0, 3693.0)","(3311.0, 3729.0)",53.075
"(215.0, 2583.0)","(211.0, 2636.0)",53.151
"(3428.0, 3674.0)","(3457.0, 3719.0)",53.535
"(1223.0, 1015.0)","(1175.0, 1039.0)",53.666
"(2834.0, 2161.0)","(2856.0, 2112.0)",53.712
"(2971.0, 3508.0)","(2934.0, 3547.0)",53.759
"(1409.0, 1285.0)","(1445.0, 1325.0)",53.814
"(2967.0, 1984.0)","(2968.0, 2038.0)",54.009
"(1241.0, 1003.0)","(1295.0, 1001.0)",54.037
"(789.0, 994.0)","(740.0, 971.0)",54.129
"(3542.0, 284.0)","(3514.0, 237.0)",54.708
"(925.0, 650.0)","(915.0, 704.0)",54.918
"(2834.0, 3650.0)","(2784.0, 3674.0)",55.462
"(3144.0, 3408.0)","(3095.0, 3382.0)",55.471
"(282.0, 465.0)","(236.0, 496.0)",55.471
"(3191.0, 1887.0)","(3246.0, 1896.0)",55.731
"(2230.0, 1851.0)","(2194.0, 1894.0)",56.08
"(3277.0, 360.0)","(3325.0, 390.0)",56.604
"(2647.0, 2328.0)","(2690.0, 2291.0)",56.727
"(1421.0, 1273.0)","(1445.0, 1325.0)",57.271
"(2261.0, 3736.0)","(2206.0, 3753.0)",57.567
"(2388.0, 3121.0)","(2371.0, 3176.0)",57.567
"(3400.0, 1843.0)","(3457.0, 1833.0)",57.871
"(2663.0, 1557.0)","(2699.0, 1511.0)",58.412
"(3447.0, 2567.0)","(3389.0, 2574.0)",58.421
"(753.0, 1139.0)","(773.0, 1194.0)",58.523
"(3053.0, 3424.0)","(3095.0, 3382.0)",59.397
"(2696.0, 1890.0)","(2658.0, 1936.0)",59.666
"(1093.0, 1272.0)","(1146.0, 1244.0)",59.942
"(2174.0, 1394.0)","(2121.0, 1365.0)",60.415
"(494.0, 2943.0)","(443.0, 2910.0)",60.745
"(2251.0, 1873.0)","(2194.0, 1894.0)",60.745
"(3019.0, 519.0)","(2974.0, 478.0)",60.877
"(1296.0, 2119.0)","(1256.0, 2073.0)",60.959
"(2200.0, 3109.0)","(2199.0, 3170.0)",61.008
"(508.0, 42.0)","(569.0, 43.0)",61.008
"(3330.0, 3671.0)","(3311.0, 3729.0)",61.033
"(2089.0, 2788.0)","(2150.0, 2785.0)",61.074
"(2221.0, 2853.0)","(2209.0, 2793.0)",61.188
"(1603.0, 1447.0)","(1542.0, 1442.0)",61.205
"(493.0, 1100.0)","(548.0, 1072.0)",61.717
"(3559.0, 136.0)","(3559.0, 74.0)",62.0
"(1913.0, 1725.0)","(1916.0, 1663.0)",62.073
"(974.0, 2692.0)","(979.0, 2630.0)",62.201
"(1622.0, 572.0)","(1667.0, 615.0)",62.241
"(2237.0, 1242.0)","(2175.0, 1249.0)",62.394
"(1986.0, 3221.0)","(2048.0, 3230.0)",62.65
"(1518.0, 176.0)","(1550.0, 230.0)",62.769
"(2264.0, 2847.0)","(2288.0, 2789.0)",62.769
"(2185.0, 3091.0)","(2186.0, 3028.0)",63.008
"(2471.0, 3205.0)","(2457.0, 3267.0)",63.561
"(3385.0, 2184.0)","(3447.0, 2200.0)",64.031
"(1707.0, 179.0)","(1742.0, 125.0)",64.351
"(2971.0, 3480.0)","(2919.0, 3442.0)",64.405
"(1607.0, 1431.0)","(1542.0, 1442.0)",65.924
"(763.0, 909.0)","(740.0, 971.0)",66.129
"(1598.0, 2153.0)","(1546.0, 2112.0)",66.219
"(1478.0, 1399.0)","(1535.0, 1433.0)",66.37
"(3407.0, 2253.0)","(3447.0, 2200.0)",66.4
"(3482.0, 1895.0)","(3457.0, 1833.0)",66.851
"(1081.0, 1260.0)","(1146.0, 1244.0)",66.94
"(2567.0, 557.0)","(2631.0, 536.0)",67.357
"(1903.0, 3698.0)","(1837.0, 3713.0)",67.683
"(2591.0, 1926.0)","(2658.0, 1936.0)",67.742
"(1126.0, 1729.0)","(1153.0, 1792.0)",68.542
"(2205.0, 1390.0)","(2204.0, 1321.0)",69.007
"(130.0, 452.0)","(104.0, 516.0)",69.08
"(3523.0, 134.0)","(3559.0, 74.0)",69.971
"(703.0, 491.0)","(695.0, 561.0)",70.456
"(1059.0, 1637.0)","(1113.0, 1591.0)",70.937
"(1404.0, 986.0)","(1333.0, 985.0)",71.007
"(1028.0, 1938.0)","(964.0, 1969.0)",71.113
"(2774.0, 2164.0)","(2818.0, 2107.0)",72.007
"(1566.0, 793.0)","(1537.0, 727.0)",72.09
"(1588.0, 779.0)","(1537.0, 727.0)",72.835
"(2265.0, 3541.0)","(2241.0, 3610.0)",73.055
"(3011.0, 541.0)","(2974.0, 478.0)",73.062
"(2658.0, 1740.0)","(2679.0, 1810.0)",73.082
"(2874.0, 3505.0)","(2934.0, 3547.0)",73.239
"(517.0, 3247.0)","(556.0, 3185.0)",73.246
"(3089.0, 3717.0)","(3038.0, 3663.0)",74.277
"(1599.0, 585.0)","(1667.0, 615.0)",74.324
"(1911.0, 232.0)","(1837.0, 244.0)",74.967
"(1702.0, 749.0)","(1689.0, 674.0)",76.118
"(3571.0, 1748.0)","(3497.0, 1766.0)",76.158
"(1591.0, 621.0)","(1667.0, 615.0)",76.236
"(1997.0, 3287.0)","(2048.0, 3230.0)",76.485
"(3000.0, 154.0)","(3062.0, 200.0)",77.201
"(3367.0, 1859.0)","(3297.0, 1892.0)",77.389
"(1857.0, 2517.0)","(1886.0, 2589.0)",77.621
"(1548.0, 804.0)","(1537.0, 727.0)",77.782
"(1306.0, 2133.0)","(1256.0, 2073.0)",78.102
"(489.0, 987.0)","(429.0, 1037.0)",78.102
"(2242.0, 2319.0)","(2193.0, 2258.0)",78.243
"(2409.0, 1420.0)","(2481.0, 1451.0)",78.39
"(2256.0, 1846.0)","(2194.0, 1894.0)",78.409
"(2995.0, 3496.0)","(2934.0, 3547.0)",79.511
"(585.0, 536.0)","(522.0, 487.0)",79.812
"(806.0, 524.0)","(807.0, 444.0)",80.006
"(3269.0, 3596.0)","(3295.0, 3520.0)",80.324
"(2655.0, 1700.0)","(2576.0, 1715.0)",80.411
"(2531.0, 3719.0)","(2511.0, 3797.0)",80.523
