og_coord,closest_coord,dist
"(2383.208, 2944.708)","(2389.5, 2959.219)",15.816
"(2862.422, 1145.911)","(2876.132, 1154.171)",16.006
"(2876.132, 1154.171)","(2862.422, 1145.911)",16.006
"(312.128, 2977.128)","(308.828, 2992.828)",16.043
"(308.828, 2992.828)","(312.128, 2977.128)",16.043
"(2782.232, 920.607)","(2786.08, 904.98)",16.094
"(2786.08, 904.98)","(2782.232, 920.607)",16.094
"(4096.0, 1744.426)","(4079.759, 1742.603)",16.343
"(2022.169, 2634.708)","(2038.405, 2637.321)",16.445
"(3265.908, 1445.943)","(3282.125, 1449.266)",16.554
"(3282.125, 1449.266)","(3265.908, 1445.943)",16.554
"(2839.333, 1093.0)","(2841.085, 1109.463)",16.556
"(2841.085, 1109.463)","(2839.333, 1093.0)",16.556
"(4110.123, 2707.644)","(4126.706, 2707.074)",16.593
"(4126.706, 2707.074)","(4110.123, 2707.644)",16.593
"(2453.0, 3506.0)","(2438.419, 3514.302)",16.779
"(2438.419, 3514.302)","(2453.0, 3506.0)",16.779
"(3771.988, 2000.558)","(3780.56, 2015.027)",16.818
"(2222.25, 772.0)","(2217.703, 788.378)",16.997
"(2217.703, 788.378)","(2222.25, 772.0)",16.997
"(3990.867, 1227.867)","(3998.0, 1212.0)",17.397
"(3164.521, 1082.113)","(3155.48, 1097.013)",17.428
"(3155.48, 1097.013)","(3164.521, 1082.113)",17.428
"(4140.0, 1700.0)","(4154.0, 1710.5)",17.5
"(4154.0, 1710.5)","(4140.0, 1700.0)",17.5
"(3859.815, 2541.0)","(3871.675, 2554.143)",17.703
"(3871.675, 2554.143)","(3859.815, 2541.0)",17.703
"(3037.901, 2459.099)","(3030.084, 2474.988)",17.708
"(3030.084, 2474.988)","(3037.901, 2459.099)",17.708
"(2768.63, 1348.815)","(2784.197, 1340.098)",17.841
"(1798.393, 3011.19)","(1809.832, 3024.989)",17.924
"(1809.832, 3024.989)","(1798.393, 3011.19)",17.924
"(4129.673, 1808.571)","(4112.833, 1814.896)",17.989
"(4112.833, 1814.896)","(4129.673, 1808.571)",17.989
"(3252.5, 2506.368)","(3246.938, 2523.519)",18.03
"(3246.938, 2523.519)","(3252.5, 2506.368)",18.03
"(2857.872, 1102.128)","(2841.085, 1109.463)",18.32
"(3993.286, 2549.875)","(4011.133, 2544.44)",18.656
"(4011.133, 2544.44)","(3993.286, 2549.875)",18.656
"(2802.206, 895.111)","(2786.08, 904.98)",18.906
"(4144.0, 1839.679)","(4136.0, 1857.0)",19.079
"(4136.0, 1857.0)","(4144.0, 1839.679)",19.079
"(3732.405, 2848.143)","(3734.8, 2829.171)",19.123
"(3734.8, 2829.171)","(3732.405, 2848.143)",19.123
"(2736.023, 2017.333)","(2753.2, 2008.892)",19.139
"(3174.434, 1834.547)","(3155.288, 1834.712)",19.147
"(3155.288, 1834.712)","(3174.434, 1834.547)",19.147
"(2906.658, 1079.882)","(2890.279, 1089.869)",19.184
"(2890.279, 1089.869)","(2906.658, 1079.882)",19.184
"(325.711, 2963.542)","(312.128, 2977.128)",19.211
"(2749.111, 1979.206)","(2758.0, 1996.286)",19.255
"(2801.5, 921.862)","(2782.232, 920.607)",19.309
"(3147.5, 1854.5)","(3135.908, 1869.969)",19.33
"(2848.218, 1127.5)","(2841.085, 1109.463)",19.396
"(2727.646, 1341.696)","(2745.052, 1350.532)",19.52
"(2745.052, 1350.532)","(2727.646, 1341.696)",19.52
"(1405.864, 3169.943)","(1421.611, 3158.389)",19.531
"(1421.611, 3158.389)","(1405.864, 3169.943)",19.531
"(1387.562, 3202.762)","(1407.09, 3205.04)",19.66
"(1407.09, 3205.04)","(1387.562, 3202.762)",19.66
"(3144.618, 1899.309)","(3135.865, 1881.703)",19.662
"(4123.6, 2635.6)","(4125.184, 2615.816)",19.847
"(3972.769, 2405.846)","(3973.31, 2385.948)",19.905
"(3973.31, 2385.948)","(3972.769, 2405.846)",19.905
"(3150.531, 1944.571)","(3160.136, 1927.136)",19.906
"(2843.04, 1150.747)","(2862.422, 1145.911)",19.976
"(2234.302, 2918.491)","(2253.986, 2914.8)",20.027
"(2253.986, 2914.8)","(2234.302, 2918.491)",20.027
"(2199.63, 2942.109)","(2204.319, 2922.574)",20.09
"(3799.48, 2222.74)","(3784.2, 2235.892)",20.161
"(2596.407, 4049.695)","(2607.368, 4032.702)",20.221
"(2607.368, 4032.702)","(2596.407, 4049.695)",20.221
"(4338.323, 3080.719)","(4331.785, 3061.431)",20.366
"(4331.785, 3061.431)","(4338.323, 3080.719)",20.366
"(361.89, 2922.233)","(342.562, 2915.781)",20.376
"(342.562, 2915.781)","(361.89, 2922.233)",20.376
"(4355.685, 3047.507)","(4375.094, 3053.753)",20.389
"(3714.525, 1969.932)","(3695.783, 1978.101)",20.445
"(3695.783, 1978.101)","(3714.525, 1969.932)",20.445
"(2116.452, 3275.081)","(2114.345, 3254.707)",20.483
