cluster_id,cluster_size,cluster_area
0,4,20025.0
1,2,6488.0
2,2,6598.0
3,2,6334.0
4,3,11860.0
5,2,5892.0
6,5,24941.0
7,2,5841.0
8,4,16739.5
9,3,11483.0
10,2,5972.0
11,3,9373.5
12,1,2212.0
13,1,2212.0
14,2,5808.0
15,4,13999.0
16,1,2212.0
17,3,9888.5
18,4,16585.0
19,2,5156.0
20,2,6267.0
21,1,2212.0
22,1,2212.0
23,2,5575.0
24,3,10335.0
25,1,2212.0
26,1,2212.0
27,1,2212.0
28,1,2212.0
29,1,2212.0
30,2,5661.0
31,1,2212.0
32,1,2212.0
33,1,2212.0
34,1,2212.0
35,1,2212.0
36,1,2212.0
37,1,2212.0
38,2,5686.0
39,1,2212.0
40,1,2212.0
41,1,2212.0
42,1,2212.0
