og_coord,astar_coord,dist
"(2880.0, 1328.0)","(3024.0, 1328.0)",176.0
"(2640.0, 3888.0)","(2496.0, 3904.0)",192.0
"(2400.0, 3840.0)","(2496.0, 3904.0)",192.0
"(2624.0, 3968.0)","(2496.0, 3904.0)",224.0
"(2112.0, 3616.0)","(2304.0, 3600.0)",240.0
"(3072.0, 1168.0)","(3024.0, 1328.0)",240.0
"(3120.0, 1872.0)","(2992.0, 1776.0)",256.0
"(2464.0, 992.0)","(2464.0, 768.0)",256.0
"(3104.0, 1904.0)","(2992.0, 1776.0)",272.0
"(3088.0, 1936.0)","(2992.0, 1776.0)",288.0
"(2208.0, 768.0)","(2464.0, 768.0)",288.0
"(4048.0, 1760.0)","(3888.0, 1920.0)",352.0
"(2432.0, 3504.0)","(2304.0, 3600.0)",400.0
"(2736.0, 864.0)","(2464.0, 768.0)",400.0
"(4112.0, 2096.0)","(3888.0, 1920.0)",432.0
"(2704.0, 928.0)","(2464.0, 768.0)",432.0
"(2848.0, 1088.0)","(3024.0, 1328.0)",448.0
"(2832.0, 1088.0)","(3024.0, 1328.0)",464.0
"(2320.0, 2896.0)","(2240.0, 2528.0)",480.0
"(3760.0, 2848.0)","(3680.0, 2464.0)",496.0
"(2592.0, 1280.0)","(3024.0, 1328.0)",512.0
"(2752.0, 976.0)","(2464.0, 768.0)",528.0
"(3312.0, 3216.0)","(2992.0, 3424.0)",560.0
"(2256.0, 3040.0)","(2240.0, 2528.0)",560.0
"(3984.0, 1200.0)","(3536.0, 1088.0)",592.0
"(1056.0, 2992.0)","(1552.0, 3088.0)",624.0
"(4112.0, 2672.0)","(3680.0, 2464.0)",672.0
"(1920.0, 736.0)","(2464.0, 768.0)",704.0
"(3008.0, 4096.0)","(2496.0, 3904.0)",736.0
"(304.0, 2976.0)","(1552.0, 3088.0)",1392.0
