og_coord,starfish_coord,dist
"(2549.0, 1990.0)","(2549.0, 1987.0)",3.0
"(1997.0, 3287.0)","(1996.0, 3281.0)",6.083
"(2273.0, 2372.0)","(2266.0, 2375.0)",7.616
"(2286.0, 1842.0)","(2287.0, 1851.0)",9.055
"(800.0, 656.0)","(792.0, 649.0)",10.63
"(310.0, 181.0)","(316.0, 172.0)",10.817
"(1306.0, 565.0)","(1300.0, 574.0)",10.817
"(713.0, 111.0)","(702.0, 102.0)",14.213
"(930.0, 326.0)","(923.0, 339.0)",14.765
"(781.0, 659.0)","(792.0, 649.0)",14.866
"(3144.0, 3314.0)","(3149.0, 3329.0)",15.811
"(1391.0, 186.0)","(1385.0, 201.0)",16.155
"(2270.0, 2391.0)","(2266.0, 2375.0)",16.492
"(587.0, 209.0)","(574.0, 220.0)",17.029
"(3481.0, 2553.0)","(3464.0, 2551.0)",17.117
"(1294.0, 1540.0)","(1276.0, 1540.0)",18.0
"(3127.0, 1946.0)","(3117.0, 1931.0)",18.028
"(687.0, 184.0)","(685.0, 165.0)",19.105
"(1478.0, 1399.0)","(1493.0, 1386.0)",19.849
"(3262.0, 2698.0)","(3243.0, 2692.0)",19.925
"(2110.0, 1578.0)","(2130.0, 1583.0)",20.616
"(934.0, 994.0)","(931.0, 973.0)",21.213
"(1702.0, 749.0)","(1681.0, 742.0)",22.136
"(3447.0, 2567.0)","(3464.0, 2551.0)",23.345
"(1585.0, 599.0)","(1564.0, 588.0)",23.707
"(1857.0, 2517.0)","(1879.0, 2528.0)",24.597
"(319.0, 1621.0)","(341.0, 1632.0)",24.597
"(3222.0, 1851.0)","(3244.0, 1839.0)",25.06
"(1641.0, 1198.0)","(1648.0, 1172.0)",26.926
"(981.0, 1922.0)","(953.0, 1924.0)",28.071
"(282.0, 465.0)","(290.0, 493.0)",29.12
"(809.0, 673.0)","(792.0, 649.0)",29.411
"(822.0, 646.0)","(792.0, 649.0)",30.15
"(1331.0, 573.0)","(1300.0, 574.0)",31.016
"(677.0, 2386.0)","(697.0, 2410.0)",31.241
"(2256.0, 1846.0)","(2287.0, 1851.0)",31.401
"(1324.0, 595.0)","(1300.0, 574.0)",31.89
"(2590.0, 2166.0)","(2558.0, 2169.0)",32.14
"(1598.0, 2153.0)","(1584.0, 2182.0)",32.202
"(1554.0, 1550.0)","(1576.0, 1526.0)",32.558
"(374.0, 87.0)","(381.0, 119.0)",32.757
"(2089.0, 2788.0)","(2119.0, 2802.0)",33.106
"(2005.0, 2701.0)","(2001.0, 2668.0)",33.242
"(3542.0, 284.0)","(3524.0, 313.0)",34.132
"(1989.0, 2700.0)","(2001.0, 2668.0)",34.176
"(3406.0, 1152.0)","(3415.0, 1119.0)",34.205
"(1093.0, 1272.0)","(1098.0, 1306.0)",34.366
"(1209.0, 2444.0)","(1209.0, 2479.0)",35.0
"(1911.0, 232.0)","(1946.0, 231.0)",35.014
"(1599.0, 585.0)","(1564.0, 588.0)",35.128
"(2079.0, 3125.0)","(2114.0, 3121.0)",35.228
"(3522.0, 2292.0)","(3509.0, 2325.0)",35.468
"(3053.0, 3424.0)","(3022.0, 3442.0)",35.847
"(2242.0, 2319.0)","(2222.0, 2289.0)",36.056
"(2569.0, 2017.0)","(2549.0, 1987.0)",36.056
"(1951.0, 3321.0)","(1987.0, 3324.0)",36.125
"(517.0, 3247.0)","(553.0, 3253.0)",36.497
"(3096.0, 3150.0)","(3120.0, 3178.0)",36.878
"(2637.0, 2130.0)","(2605.0, 2110.0)",37.736
"(2895.0, 3126.0)","(2926.0, 3104.0)",38.013
"(2508.0, 3542.0)","(2513.0, 3503.0)",39.319
"(1652.0, 1219.0)","(1645.0, 1258.0)",39.623
"(1265.0, 215.0)","(1238.0, 244.0)",39.623
"(1647.0, 490.0)","(1687.0, 490.0)",40.0
"(1028.0, 1938.0)","(1038.0, 1977.0)",40.262
"(759.0, 673.0)","(792.0, 649.0)",40.804
"(292.0, 452.0)","(290.0, 493.0)",41.049
"(1619.0, 1226.0)","(1645.0, 1258.0)",41.231
"(2702.0, 1667.0)","(2696.0, 1626.0)",41.437
"(2254.0, 2879.0)","(2270.0, 2918.0)",42.154
"(2251.0, 1873.0)","(2287.0, 1851.0)",42.19
"(675.0, 1696.0)","(654.0, 1733.0)",42.544
"(1466.0, 869.0)","(1487.0, 832.0)",42.544
"(1591.0, 621.0)","(1564.0, 588.0)",42.638
"(2080.0, 3646.0)","(2068.0, 3687.0)",42.72
"(2300.0, 2195.0)","(2336.0, 2219.0)",43.267
"(2834.0, 2161.0)","(2877.0, 2155.0)",43.417
"(2310.0, 3557.0)","(2330.0, 3596.0)",43.829
"(584.0, 1753.0)","(617.0, 1782.0)",43.932
"(965.0, 1001.0)","(931.0, 973.0)",44.045
"(3000.0, 3481.0)","(3022.0, 3442.0)",44.777
"(2619.0, 2153.0)","(2605.0, 2110.0)",45.222
"(3465.0, 2650.0)","(3507.0, 2668.0)",45.695
"(1617.0, 1550.0)","(1576.0, 1526.0)",47.508
"(1446.0, 856.0)","(1487.0, 832.0)",47.508
"(2328.0, 392.0)","(2346.0, 436.0)",47.539
"(3121.0, 3534.0)","(3074.0, 3544.0)",48.052
"(1807.0, 3182.0)","(1762.0, 3165.0)",48.104
"(2221.0, 2853.0)","(2174.0, 2842.0)",48.27
"(3216.0, 1979.0)","(3255.0, 1950.0)",48.6
"(1081.0, 1260.0)","(1098.0, 1306.0)",49.041
"(3124.0, 758.0)","(3119.0, 807.0)",49.254
"(3414.0, 1191.0)","(3456.0, 1217.0)",49.396
"(2794.0, 3276.0)","(2751.0, 3250.0)",50.249
"(2059.0, 3637.0)","(2068.0, 3687.0)",50.804
"(3422.0, 2359.0)","(3402.0, 2406.0)",51.078
"(1735.0, 244.0)","(1685.0, 231.0)",51.662
"(2834.0, 3650.0)","(2806.0, 3606.0)",52.154
"(1059.0, 1637.0)","(1023.0, 1599.0)",52.345
"(2095.0, 3642.0)","(2068.0, 3687.0)",52.479
"(925.0, 650.0)","(917.0, 598.0)",52.612
"(2409.0, 1420.0)","(2454.0, 1391.0)",53.535
"(3138.0, 2228.0)","(3190.0, 2215.0)",53.6
"(666.0, 338.0)","(611.0, 334.0)",55.145
"(2839.0, 2115.0)","(2877.0, 2155.0)",55.172
"(2557.0, 1932.0)","(2549.0, 1987.0)",55.579
"(3571.0, 1748.0)","(3519.0, 1768.0)",55.714
"(2028.0, 3648.0)","(2068.0, 3687.0)",55.866
"(1620.0, 592.0)","(1564.0, 588.0)",56.143
"(3011.0, 541.0)","(3056.0, 575.0)",56.4
"(1707.0, 179.0)","(1685.0, 231.0)",56.462
"(2079.0, 2842.0)","(2119.0, 2802.0)",56.569
"(3079.0, 3139.0)","(3120.0, 3178.0)",56.586
