og_coord,starfish_coord,dist
"(3908.088, 3958.704)","(3920.0, 3956.0)",12.215
"(6551.664, 5976.24)","(6552.0, 5998.0)",21.763
"(3927.624, 3979.128)","(3920.0, 3956.0)",24.352
"(7237.2, 7281.6)","(7223.0, 7258.0)",27.543
"(6577.416, 5979.792)","(6552.0, 5998.0)",31.265
"(3921.408, 3991.56)","(3920.0, 3956.0)",35.588
"(3889.44, 3993.336)","(3920.0, 3956.0)",48.248
"(3922.296, 5215.224)","(3973.0, 5216.0)",50.71
"(6588.072, 5962.032)","(6552.0, 5998.0)",50.94
"(3919.632, 4009.32)","(3920.0, 3956.0)",53.321
"(7890.768, 7040.064)","(7896.0, 6984.0)",56.308
"(4795.2, 4505.712)","(4731.0, 4496.0)",64.93
"(5160.168, 4963.92)","(5157.0, 4899.0)",64.997
"(7787.76, 7112.88)","(7847.0, 7082.0)",66.805
"(4993.224, 5758.68)","(4959.0, 5694.0)",73.176
"(5128.2, 4966.584)","(5157.0, 4899.0)",73.465
"(4662.0, 5089.128)","(4605.0, 5041.0)",74.601
"(4677.096, 5065.152)","(4605.0, 5041.0)",76.034
"(4668.216, 5100.672)","(4626.0, 5170.0)",81.17
"(4953.264, 5779.104)","(4959.0, 5694.0)",85.297
"(2710.176, 2140.08)","(2692.0, 2056.0)",86.022
"(6650.232, 6724.824)","(6569.0, 6760.0)",88.521
"(5119.32, 4979.904)","(5157.0, 4899.0)",89.248
"(2690.64, 2381.616)","(2729.0, 2301.0)",89.277
"(6198.24, 6628.032)","(6226.0, 6714.0)",90.339
"(6238.2, 6623.592)","(6226.0, 6714.0)",91.227
"(2746.584, 2391.384)","(2729.0, 2301.0)",92.079
"(5139.744, 4990.56)","(5157.0, 4899.0)",93.172
"(6673.32, 6740.808)","(6629.0, 6826.0)",96.031
"(4407.144, 4847.592)","(4320.0, 4798.0)",100.267
"(6141.408, 5685.864)","(6226.0, 5741.0)",100.974
"(5629.032, 5827.056)","(5532.0, 5859.0)",102.155
"(2233.32, 1040.736)","(2232.0, 1145.0)",104.272
"(4187.808, 4779.216)","(4258.0, 4689.0)",114.306
"(2213.784, 1030.08)","(2232.0, 1145.0)",116.355
"(7238.088, 7387.272)","(7223.0, 7258.0)",130.15
"(4081.248, 4085.688)","(4176.0, 3984.0)",138.991
"(2559.216, 2013.096)","(2692.0, 2056.0)",139.543
"(2529.912, 2037.072)","(2391.0, 2081.0)",145.692
"(6715.056, 6052.608)","(6818.0, 5945.0)",148.919
"(5245.416, 5310.24)","(5399.0, 5279.0)",156.729
"(2419.8, 2242.2)","(2391.0, 2081.0)",163.752
"(6943.272, 6067.704)","(6818.0, 5945.0)",175.355
"(6938.832, 6080.136)","(6818.0, 5945.0)",181.279
"(3769.56, 3591.96)","(3593.0, 3524.0)",189.188
"(2411.808, 2272.392)","(2391.0, 2081.0)",192.52
"(5214.336, 5338.656)","(5399.0, 5279.0)",194.061
"(8095.896, 7325.112)","(7934.0, 7206.0)",200.992
"(4715.28, 5350.2)","(4626.0, 5170.0)",201.104
"(1408.368, 1056.72)","(1523.0, 884.0)",207.299
"(5185.032, 5280.936)","(5399.0, 5279.0)",213.977
"(1403.928, 1073.592)","(1523.0, 884.0)",223.882
"(5172.6, 5310.24)","(5399.0, 5279.0)",228.545
"(2848.704, 2978.352)","(2642.0, 2868.0)",234.316
"(1416.36, 1094.016)","(1523.0, 884.0)",235.539
"(4331.664, 4164.72)","(4176.0, 3984.0)",238.518
"(3866.352, 3502.272)","(3940.0, 3733.0)",242.197
"(1401.264, 1094.904)","(1523.0, 884.0)",243.516
"(4331.664, 4347.648)","(4575.0, 4332.0)",243.839
"(6722.16, 6176.04)","(6552.0, 5998.0)",246.278
"(4755.24, 5380.392)","(4626.0, 5170.0)",246.917
"(2682.648, 1458.096)","(2531.0, 1662.0)",254.114
"(6713.28, 6199.128)","(6552.0, 5998.0)",257.806
"(4335.216, 4193.136)","(4176.0, 3984.0)",262.845
"(3852.144, 3462.312)","(3593.0, 3524.0)",266.385
"(4308.576, 4352.976)","(4575.0, 4332.0)",267.248
"(4305.912, 4331.664)","(4575.0, 4332.0)",269.088
"(3863.688, 3440.112)","(3593.0, 3524.0)",283.389
"(5106.0, 5352.864)","(5317.0, 5548.0)",287.401
"(2804.304, 3115.992)","(2642.0, 2868.0)",296.383
"(2996.112, 2148.96)","(2729.0, 2301.0)",307.352
"(3009.432, 2172.048)","(2729.0, 2301.0)",308.66
"(5067.816, 5359.08)","(5317.0, 5548.0)",312.703
"(5065.152, 5329.776)","(5317.0, 5548.0)",333.24
"(3885.888, 3348.648)","(3593.0, 3524.0)",341.367
"(3044.064, 1924.296)","(2692.0, 2056.0)",375.892
"(3060.936, 1942.056)","(2692.0, 2056.0)",386.131
"(3145.296, 3623.928)","(3593.0, 3524.0)",458.72
"(3147.072, 3638.136)","(3593.0, 3524.0)",460.303
"(3126.648, 3599.952)","(3593.0, 3524.0)",472.496
"(3093.792, 3615.936)","(3593.0, 3524.0)",507.603
