 ,X,Y,cluster_id
1,8151.0,8319.0,41
2,9117.0,8249.0,28
3,8150.0,8200.0,33
4,8770.0,8010.0,40
5,8886.0,7928.0,27
6,7515.0,7591.0,9
7,7489.0,7573.0,9
8,7560.0,6981.0,18
9,7570.0,6955.0,18
10,7562.0,6816.0,37
11,7407.0,6734.0,11
12,7378.0,6730.0,11
13,7419.0,6714.0,11
14,4878.0,4690.0,31
15,4596.0,4601.0,32
16,4414.0,4515.0,3
17,4380.0,4497.0,3
18,3544.0,4097.0,21
19,3542.0,4081.0,21
20,3484.0,4072.0,26
21,3521.0,4054.0,26
22,4245.0,4045.0,35
23,4354.0,3944.0,0
24,4338.0,3899.0,0
25,4351.0,3874.0,0
26,4376.0,3771.0,38
27,3158.0,3509.0,39
28,3208.0,3354.0,43
29,3030.0,2682.0,2
30,2716.0,2559.0,13
31,2725.0,2525.0,13
32,3389.0,2446.0,10
33,3374.0,2420.0,10
34,2849.0,2294.0,14
35,3021.0,1642.0,19
36,2515.0,1172.0,24
37,2493.0,1160.0,24
38,4401.0,4458.0,3
39,4423.0,4481.0,3
40,4416.0,4495.0,3
41,4882.0,4722.0,31
42,4849.0,4878.0,25
43,4852.0,4902.0,25
44,4878.0,4896.0,25
45,4716.0,5382.0,36
46,4963.0,5459.0,42
47,4417.0,5873.0,22
48,5257.0,5744.0,12
49,5250.0,5731.0,12
50,5267.0,5704.0,12
51,5788.0,5620.0,8
52,5811.0,5590.0,8
53,5765.0,5608.0,8
54,5775.0,5593.0,8
55,5704.0,6002.0,1
56,5707.0,6035.0,1
57,5750.0,6028.0,1
58,5825.0,5980.0,4
59,5839.0,5947.0,4
60,5872.0,6012.0,15
61,5907.0,5980.0,15
62,5400.0,5074.0,20
63,6916.0,6403.0,23
64,7025.0,7459.0,6
65,6980.0,7464.0,6
66,1595.0,1232.0,17
67,1578.0,1233.0,17
68,1581.0,1209.0,17
69,1586.0,1190.0,17
70,2882.0,2267.0,14
71,3052.0,2410.0,34
72,3093.0,2693.0,2
73,3447.0,2187.0,30
74,3428.0,2167.0,30
75,5355.0,6059.0,5
76,5310.0,6025.0,5
77,5623.0,6485.0,7
78,5578.0,6508.0,7
79,6339.0,6562.0,16
80,7814.0,6847.0,29
81,7819.0,6833.0,29
