cluster_id,cluster_size,cluster_area
0,3,18197.0
1,3,19435.0
2,2,10593.0
3,3,17088.0
4,2,10568.0
5,2,10597.0
6,2,0.0
7,2,10331.0
8,2,10425.0
9,3,0.0
10,2,10504.0
11,2,0.0
12,3,17233.0
13,3,0.0
14,3,18376.5
15,2,10074.0
16,2,10247.0
17,3,0.0
18,2,0.0
19,3,0.0
20,2,10477.0
21,2,10292.0
22,3,18542.0
23,3,19935.5
24,3,0.0
25,2,9584.0
26,3,18761.0
27,3,16750.0
28,3,0.0
29,4,0.0
30,3,18972.5
31,2,9689.0
32,3,15526.5
33,2,10042.0
34,2,9747.0
35,2,0.0
36,3,17525.0
37,2,9702.0
38,3,15304.0
39,2,9546.0
40,2,10349.0
41,3,15515.5
42,2,10336.0
43,2,10019.0
44,2,10232.0
45,2,0.0
46,2,10356.0
47,2,0.0
48,2,0.0
49,2,10263.0
50,5,0.0
51,1,3528.0
52,2,9463.0
53,3,17563.5
54,2,0.0
55,3,16432.5
56,2,0.0
57,2,0.0
58,2,9746.0
59,2,9244.0
60,2,0.0
61,2,9850.0
62,2,0.0
63,2,0.0
64,2,9172.0
65,1,0.0
66,4,23752.0
67,2,9940.0
68,2,9674.0
69,2,0.0
70,2,0.0
71,2,7256.0
72,3,15263.5
73,2,10161.0
74,3,17629.5
75,2,9205.0
76,2,8951.0
77,1,0.0
78,2,8460.0
79,1,3528.0
80,2,9208.0
81,2,9930.0
82,2,9452.0
83,2,8861.0
84,2,9705.0
85,2,0.0
86,1,3528.0
87,2,0.0
88,2,9784.0
89,2,0.0
90,2,10019.0
91,1,3528.0
92,1,3528.0
93,2,10199.0
94,2,0.0
95,2,10057.0
96,2,0.0
97,1,3528.0
98,1,3528.0
99,1,3528.0
100,2,8993.0
101,2,9644.0
102,2,0.0
103,1,3528.0
104,1,3528.0
105,1,3528.0
106,1,3528.0
107,1,3528.0
108,1,3528.0
109,1,3528.0
110,1,3528.0
111,2,9368.0
112,1,3528.0
