og_centroid,closest_centroid,dist,cluster_id
"(3.317, 2.582)","(3.307, 2.614)",0.033,114
"(3.307, 2.614)","(3.317, 2.582)",0.033,79
"(4.127, 2.014)","(4.123, 1.978)",0.037,109
"(4.123, 1.978)","(4.127, 2.014)",0.037,135
"(3.141, 4.714)","(3.186, 4.721)",0.045,55
"(3.186, 4.721)","(3.141, 4.714)",0.045,90
"(2.58, 4.818)","(2.539, 4.791)",0.049,17
"(2.539, 4.791)","(2.58, 4.818)",0.049,46
"(3.449, 3.684)","(3.466, 3.637)",0.05,89
"(3.466, 3.637)","(3.449, 3.684)",0.05,10
"(4.24, 1.609)","(4.287, 1.625)",0.05,39
"(4.287, 1.625)","(4.24, 1.609)",0.05,166
"(3.334, 2.49)","(3.365, 2.451)",0.05,165
"(3.365, 2.451)","(3.334, 2.49)",0.05,52
"(2.682, 3.417)","(2.643, 3.38)",0.054,67
"(2.643, 3.38)","(2.682, 3.417)",0.054,19
"(2.435, 4.62)","(2.397, 4.662)",0.057,87
"(2.397, 4.662)","(2.435, 4.62)",0.057,105
"(4.067, 2.017)","(4.127, 2.014)",0.06,8
"(3.385, 2.113)","(3.325, 2.116)",0.061,61
"(3.325, 2.116)","(3.385, 2.113)",0.061,84
"(3.099, 4.455)","(3.108, 4.395)",0.061,158
"(3.108, 4.395)","(3.099, 4.455)",0.061,229
"(4.066, 1.955)","(4.123, 1.978)",0.061,149
"(1.042, 7.243)","(1.017, 7.186)",0.062,27
"(1.017, 7.186)","(1.042, 7.243)",0.062,44
"(1.032, 7.126)","(1.017, 7.186)",0.062,82
"(3.393, 3.712)","(3.449, 3.684)",0.063,3
"(0.844, 8.508)","(0.803, 8.557)",0.063,43
"(0.803, 8.557)","(0.844, 8.508)",0.063,2
"(0.885, 8.557)","(0.844, 8.508)",0.064,28
"(0.916, 8.821)","(0.943, 8.882)",0.067,22
"(0.943, 8.882)","(0.916, 8.821)",0.067,64
"(4.107, 1.606)","(4.042, 1.622)",0.067,45
"(4.042, 1.622)","(4.107, 1.606)",0.067,38
"(0.85, 8.192)","(0.899, 8.144)",0.069,160
"(0.899, 8.144)","(0.85, 8.192)",0.069,32
"(3.246, 3.603)","(3.208, 3.665)",0.072,78
"(3.208, 3.665)","(3.246, 3.603)",0.072,143
"(3.346, 2.188)","(3.325, 2.116)",0.075,26
"(2.611, 4.748)","(2.58, 4.818)",0.077,60
"(3.248, 2.128)","(3.325, 2.116)",0.077,51
"(1.112, 7.799)","(1.13, 7.717)",0.084,30
"(1.13, 7.717)","(1.112, 7.799)",0.084,35
"(2.612, 4.896)","(2.58, 4.818)",0.084,127
"(3.383, 3.611)","(3.466, 3.637)",0.086,23
"(3.436, 3.788)","(3.393, 3.712)",0.087,93
"(3.31, 2.383)","(3.365, 2.451)",0.088,47
"(1.025, 7.769)","(1.112, 7.799)",0.091,50
"(3.515, 4.947)","(3.545, 5.039)",0.096,0
"(3.545, 5.039)","(3.515, 4.947)",0.096,29
"(2.581, 3.777)","(2.592, 3.68)",0.098,14
"(2.592, 3.68)","(2.581, 3.777)",0.098,13
"(2.564, 4.982)","(2.612, 4.896)",0.099,49
"(3.314, 3.529)","(3.246, 3.603)",0.101,77
"(0.734, 8.482)","(0.803, 8.557)",0.102,75
"(3.555, 3.567)","(3.466, 3.637)",0.113,54
"(3.283, 4.628)","(3.186, 4.721)",0.134,31
"(3.984, 1.5)","(4.042, 1.622)",0.135,9
"(4.424, 1.675)","(4.287, 1.625)",0.145,164
"(3.376, 3.395)","(3.314, 3.529)",0.147,34
"(3.433, 3.942)","(3.436, 3.788)",0.153,112
"(2.895, 2.441)","(3.029, 2.535)",0.163,83
"(3.029, 2.535)","(2.895, 2.441)",0.163,104
"(1.109, 8.746)","(1.094, 8.559)",0.188,15
"(1.094, 8.559)","(1.109, 8.746)",0.188,7
"(0.817, 7.814)","(1.025, 7.769)",0.213,76
"(2.755, 4.561)","(2.697, 4.35)",0.219,4
"(2.697, 4.35)","(2.755, 4.561)",0.219,53
"(2.451, 4.397)","(2.435, 4.62)",0.224,59
"(4.342, 2.089)","(4.127, 2.014)",0.228,25
"(1.816, 5.222)","(1.965, 5.049)",0.228,1
"(1.965, 5.049)","(1.816, 5.222)",0.228,11
"(1.176, 7.485)","(1.13, 7.717)",0.237,68
"(2.872, 3.25)","(2.682, 3.417)",0.253,58
"(3.523, 2.782)","(3.307, 2.614)",0.273,62
"(2.972, 2.137)","(3.248, 2.128)",0.276,24
"(3.594, 1.931)","(3.385, 2.113)",0.277,16
"(1.166, 6.792)","(1.442, 6.675)",0.3,6
"(1.442, 6.675)","(1.166, 6.792)",0.3,101
"(2.104, 4.502)","(2.397, 4.662)",0.334,40
"(3.089, 2.919)","(3.307, 2.614)",0.375,81
"(1.779, 6.377)","(1.442, 6.675)",0.45,86
"(3.597, 1.192)","(3.984, 1.5)",0.494,119
"(1.733, 5.714)","(1.816, 5.222)",0.499,201
"(1.515, 4.404)","(2.104, 4.502)",0.598,196
"(1.764, 8.327)","(1.094, 8.559)",0.709,18
