og_coord,starfish_coord,dist
"(2411.808, 2272.392)","(2410.0, 2268.0)",4.75
"(1416.36, 1094.016)","(1410.0, 1102.0)",10.208
"(1401.264, 1094.904)","(1410.0, 1102.0)",11.255
"(4308.576, 4352.976)","(4303.0, 4380.0)",27.593
"(2419.8, 2242.2)","(2410.0, 2268.0)",27.599
"(1403.928, 1073.592)","(1410.0, 1102.0)",29.05
"(5139.744, 4990.56)","(5152.0, 5021.0)",32.815
"(4331.664, 4347.648)","(4303.0, 4380.0)",43.224
"(1408.368, 1056.72)","(1410.0, 1102.0)",45.309
"(4305.912, 4331.664)","(4303.0, 4380.0)",48.424
"(5119.32, 4979.904)","(5152.0, 5021.0)",52.506
"(6715.056, 6052.608)","(6771.0, 6049.0)",56.06
"(4755.24, 5380.392)","(4778.0, 5432.0)",56.404
"(5160.168, 4963.92)","(5152.0, 5021.0)",57.661
"(5128.2, 4966.584)","(5152.0, 5021.0)",59.393
"(4795.2, 4505.712)","(4846.0, 4546.0)",64.836
"(3885.888, 3348.648)","(3816.0, 3355.0)",70.176
"(4187.808, 4779.216)","(4241.0, 4825.0)",70.182
"(3889.44, 3993.336)","(3824.0, 4036.0)",78.119
"(6198.24, 6628.032)","(6158.0, 6698.0)",80.714
"(6713.28, 6199.128)","(6626.0, 6189.0)",87.866
"(6722.16, 6176.04)","(6626.0, 6189.0)",97.029
"(3863.688, 3440.112)","(3816.0, 3355.0)",97.561
"(2682.648, 1458.096)","(2699.0, 1555.0)",98.274
"(3919.632, 4009.32)","(3824.0, 4036.0)",99.284
"(4668.216, 5100.672)","(4700.0, 5196.0)",100.487
"(4715.28, 5350.2)","(4778.0, 5432.0)",103.078
"(3921.408, 3991.56)","(3824.0, 4036.0)",107.066
"(6238.2, 6623.592)","(6158.0, 6698.0)",109.401
"(3852.144, 3462.312)","(3816.0, 3355.0)",113.235
"(4662.0, 5089.128)","(4700.0, 5196.0)",113.427
"(3908.088, 3958.704)","(3824.0, 4036.0)",114.217
"(3927.624, 3979.128)","(3824.0, 4036.0)",118.205
"(4677.096, 5065.152)","(4799.0, 5025.0)",128.346
"(4081.248, 4085.688)","(4062.0, 3956.0)",131.109
"(5629.032, 5827.056)","(5546.0, 5931.0)",133.036
"(3147.072, 3638.136)","(3112.0, 3789.0)",154.887
"(7237.2, 7281.6)","(7192.0, 7133.0)",155.322
"(3866.352, 3502.272)","(3816.0, 3355.0)",155.642
"(4407.144, 4847.592)","(4241.0, 4825.0)",167.673
"(3145.296, 3623.928)","(3112.0, 3789.0)",168.397
"(6938.832, 6080.136)","(6771.0, 6049.0)",170.696
"(2529.912, 2037.072)","(2361.0, 2011.0)",170.912
"(7890.768, 7040.064)","(8045.0, 7114.0)",171.038
"(6141.408, 5685.864)","(5975.0, 5638.0)",173.155
"(6943.272, 6067.704)","(6771.0, 6049.0)",173.284
"(3093.792, 3615.936)","(3112.0, 3789.0)",174.019
"(2710.176, 2140.08)","(2780.0, 1974.0)",180.161
"(3126.648, 3599.952)","(3112.0, 3789.0)",189.615
"(4335.216, 4193.136)","(4303.0, 4380.0)",189.621
"(2559.216, 2013.096)","(2361.0, 2011.0)",198.227
"(6588.072, 5962.032)","(6771.0, 6049.0)",202.549
"(6577.416, 5979.792)","(6771.0, 6049.0)",205.583
"(7238.088, 7387.272)","(7434.0, 7454.0)",206.964
"(2746.584, 2391.384)","(2863.0, 2565.0)",209.034
"(2690.64, 2381.616)","(2515.0, 2500.0)",211.812
"(8095.896, 7325.112)","(8045.0, 7114.0)",217.16
"(4331.664, 4164.72)","(4303.0, 4380.0)",217.18
"(6551.664, 5976.24)","(6626.0, 6189.0)",225.372
"(2233.32, 1040.736)","(2215.0, 1277.0)",236.973
"(3769.56, 3591.96)","(3816.0, 3355.0)",241.468
"(2213.784, 1030.08)","(2215.0, 1277.0)",246.923
"(7787.76, 7112.88)","(7644.0, 7316.0)",248.847
"(5185.032, 5280.936)","(5152.0, 5021.0)",262.026
"(3044.064, 1924.296)","(2780.0, 1974.0)",268.701
"(2848.704, 2978.352)","(2679.0, 2765.0)",272.614
"(2996.112, 2148.96)","(2780.0, 1974.0)",278.056
"(3060.936, 1942.056)","(2780.0, 1974.0)",282.746
"(6673.32, 6740.808)","(6961.0, 6711.0)",289.22
"(5172.6, 5310.24)","(5152.0, 5021.0)",289.973
"(5067.816, 5359.08)","(4778.0, 5432.0)",298.849
"(3009.432, 2172.048)","(2780.0, 1974.0)",303.088
"(5065.152, 5329.776)","(5087.0, 5027.0)",303.563
"(5245.416, 5310.24)","(5152.0, 5021.0)",303.951
"(6650.232, 6724.824)","(6961.0, 6711.0)",311.075
"(5214.336, 5338.656)","(5152.0, 5021.0)",323.715
"(5106.0, 5352.864)","(5087.0, 5027.0)",326.417
"(2804.304, 3115.992)","(2679.0, 2765.0)",372.688
"(4953.264, 5779.104)","(4778.0, 5432.0)",388.843
"(4993.224, 5758.68)","(4778.0, 5432.0)",391.205
"(3922.296, 5215.224)","(4366.0, 5149.0)",448.619
