radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.056,0.0,9.488067907457453e-05,0.0,324
0.124,0.043209876543209874,0.037405182857094446,1.1551842082497528,324
0.191,0.1419753086419753,0.13319180298704708,1.0659462929245158,324
0.259,0.28703703703703703,0.25405640317511413,1.1298161882548194,324
0.326,0.39814814814814814,0.37889616495683776,1.0508107100886162,324
0.394,0.5030864197530864,0.48830256770837743,1.030276007177456,324
0.461,0.5555555555555556,0.5660544039036622,0.981452580748946,324
0.529,0.6296296296296297,0.6361913878840761,0.9896858738118566,324
0.596,0.6728395061728395,0.6966230949738654,0.9658587420189992,324
0.664,0.75,0.7479581169573799,1.002729943022647,324
0.731,0.7777777777777778,0.7911935481138229,0.9830436302621175,324
0.799,0.8209876543209876,0.8286846318714367,0.990711813331126,324
0.866,0.8487654320987654,0.865724693543878,0.9804103295521245,324
0.934,0.904320987654321,0.8996790999889871,1.0051594926072982,324
1.001,0.9320987654320988,0.9311838906161314,1.0009824856563638,324
1.069,0.9537037037037037,0.9589861321721745,0.9944916529121169,324
1.136,0.9660493827160493,0.9772276204433977,0.9885612752919566,324
1.204,0.9845679012345679,0.989354896097185,0.9951614987892607,324
1.271,0.9876543209876543,0.9945106444261836,0.993105832022054,324
1.339,0.9969135802469136,0.9974521149072796,0.9994600897102554,324
1.406,0.9969135802469136,0.9988421168557221,0.9980692277825854,324
