radius,%_gp_captured,%_img_covered,LCPI,total_gp
100,0.012345679012345678,0.025520869513651803,0.4837483693783098,324
160,0.09259259259259259,0.11525833806324814,0.803348322980176,324
220,0.19444444444444445,0.23252560507611633,0.8362280978939667,324
280,0.30246913580246915,0.3588290707623493,0.8429337543913573,324
340,0.48148148148148145,0.47288344078005473,1.0181821564469327,324
400,0.6080246913580247,0.55351270299806,1.0984837169313453,324
460,0.6512345679012346,0.6254668214125361,1.041197623289602,324
520,0.6975308641975309,0.6873723981938785,1.0147786935151084,324
580,0.8024691358024691,0.739851748938946,1.0846350460796037,324
640,0.8364197530864198,0.7848116364375693,1.065758602768826,324
700,0.8641975308641975,0.822664622213939,1.0504858329005153,324
