radius,%_gp_captured,%_img_covered,LCPI,total_gp
100,0.027777777777777776,0.025520869513651803,1.0884338311011972,324
160,0.11728395061728394,0.11525833806324814,1.0175745424415563,324
220,0.2808641975308642,0.23252560507611633,1.2078850302912854,324
280,0.39197530864197533,0.3588290707623493,1.0923733347724733,324
340,0.5092592592592593,0.47288344078005473,1.0769234347034866,324
400,0.5987654320987654,0.55351270299806,1.0817555385009185,324
460,0.6635802469135802,0.6254668214125361,1.0609359668590732,324
520,0.7067901234567902,0.6873723981938785,1.02824920714584,324
580,0.7438271604938271,0.739851748938946,1.0053732542507097,324
640,0.7839506172839507,0.7848116364375693,0.9989028970600805,324
700,0.8148148148148148,0.822664622213939,0.9904580710204859,324
