radius,%_gp_captured,%_img_covered,LCPI,total_gp
50.0,0.0,0.0005273928721787996,0.0,501
110.0,0.015968063872255488,0.03296575204554191,0.484383424658286,501
170.0,0.12574850299401197,0.11190137467738097,1.1237440411840622,501
230.0,0.2754491017964072,0.21978298035913676,1.2532776712114337,501
290.0,0.45109780439121755,0.3452489612124984,1.3065869997319701,501
350.0,0.5708582834331337,0.4737947319287584,1.2048641425565074,501
410.0,0.7045908183632734,0.5933772400285552,1.1874247457306693,501
470.0,0.7764471057884231,0.6922439640497153,1.1216379572977548,501
530.0,0.8602794411177644,0.7500340832128278,1.1469871308150321,501
590.0,0.8882235528942116,0.778872947593857,1.1403959472955987,501
650.0,0.8942115768463074,0.7978296571543629,1.1208051353163682,501
