ID,X,Y
1,3121.588235,1586.882353
2,393,6383.5
3,4530.642857,1450.392857
4,2488.432432,2432.567568
5,5479.594595,1214.162162
6,4775,1110
7,2539.921053,2440.052632
8,4678.342105,999.6052632
9,4726.184211,1106.684211
10,4671.315789,1091.815789
11,2917.078947,1652.052632
12,6113.948718,757.2820513
13,4803.153846,1068
14,4680.225,1048.875
15,3041.625,1908.05
16,3000.3,1748.775
17,3373.35,2121.225
18,6027.55,615.225
19,4789.585366,1025.97561
20,3506.878049,2628.02439
21,3935.268293,1430.146341
22,1796,4333.756098
23,4746.619048,1018.904762
24,3471.666667,2576
25,5994.047619,588.9285714
26,3025.27907,1916.930233
27,2387.418605,3077.976744
28,3368.204545,1372.886364
29,2729.659091,2391.340909
30,3058.25,2150.795455
31,5506.5,1221
32,4770,1077.5
33,4664.590909,1070.818182
34,4758.090909,1056
35,4743.422222,1046.044444
36,5195.288889,466.1333333
37,5230.4,1109.177778
38,4703.955556,946.0666667
39,1981,2769
40,2992,3087
41,6159,990
42,2974,3100
43,4676,968
44,6155.217391,868.9565217
45,2958.369565,1565.978261
46,2915.717391,1719.369565
47,2506.87234,3187.170213
48,4728.957447,941.6808511
49,2117.425532,3078.829787
50,2879.276596,3001.148936
51,2680.583333,2385.75
52,5229.5,536.7083333
53,2925.916667,1682.020833
54,2132.645833,2833.354167
55,2627.395833,3306.395833
56,4807.5,1057.208333
57,2684,2404.75
58,4778.897959,966.7755102
59,1880.673469,2934.428571
60,3811.530612,1863.428571
61,6106.428571,920.6734694
62,3350.244898,2657.918367
63,4754.469388,956.4285714
64,2903.84,1681.78
65,4671.4,1109.4
66,4509.74,1347.16
67,5253.88,499.5
68,6035.26,576.52
69,4685.24,951.18
70,5995.431373,645.5490196
71,2932,1639
72,3353.196078,2671.568627
73,3399.352941,2655.882353
74,6183.529412,779.7647059
75,4156.5,1601.5
76,3989.288462,1789.711538
77,2823.288462,2402.288462
78,1732.5,3061.5
79,1597.711538,3303.288462
80,4786.433962,1004.54717
81,6161.641509,933.3207547
82,5975.188679,556.5660377
83,1535.415094,4718.679245
84,2958.566038,2148.54717
85,4676.641509,934.3207547
86,2937.207547,1667.54717
87,3380.056604,2639.54717
88,5301.388889,607.6111111
89,2095.87037,2829.703704
90,5488.611111,1181.611111
91,6028.462963,601.4444444
92,3338.5,1943.314815
93,3020.833333,2095.814815
94,5169.381818,1130.309091
95,1246.436364,4868.327273
96,5609.327273,1030.436364
97,4763.527273,1013.218182
98,3034.672727,2620.563636
99,3032.618182,2141.309091
100,4048.545455,1496.436364
101,2565.545455,2414.436364
102,3113.654545,1898.836364
103,2648.5,2402.714286
104,3013.107143,2128.464286
105,5250.714286,482.5
106,3345,1929
107,2985.526316,2121.070175
108,3056,1923
109,3336,1899
110,3075.666667,1940.280702
111,3020.157895,2207.631579
112,4641.719298,1078.421053
113,4847.175439,1040.561404
114,3377.070175,2673.473684
115,1639.526316,3229.070175
116,3003,1399
117,1642,3179
118,3020,1431
119,1882.175439,2945.561404
120,4628.421053,1073.719298
121,853.4385965,5263.894737
122,2973.22807,1568.684211
123,2761.824561,2900.438596
124,756.1034483,5984.586207
125,6191.017241,907.0689655
126,4662.224138,962.362069
127,6146.155172,786.7068966
128,834.2413793,5240.517241
129,2285.586207,2661.103448
130,5461.844828,1210.706897
131,2596.862069,3289.5
132,2102.137931,2818.5
133,3321.637931,1879.534483
134,4866.677966,810.4915254
135,1040.542373,5191.79661
136,4669.067797,1032.525424
137,905.5762712,4975.864407
138,3374.932203,1355.474576
139,1603.440678,4653.542373
140,4638.559322,1046.186441
141,1909.5,2932
142,2768,2385.5
143,2084,2898.5
144,442.1166667,6500.733333
145,4684.316667,959.4166667
146,4867.4,1017.75
147,3317,1985.5
148,3984.916667,1451.266667
149,3094,2656
150,6145.016393,841.6557377
