radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.056,0.0,9.488067907457453e-05,0.0,324
0.124,0.024691358024691357,0.037405182857094446,0.6601052618570016,324
0.191,0.11419753086419752,0.13319180298704708,0.8573915834392846,324
0.259,0.21604938271604937,0.25405640317511413,0.8503992814821221,324
0.326,0.35185185185185186,0.37889616495683776,0.9286234182178469,324
0.394,0.47530864197530864,0.48830256770837743,0.9733896018731792,324
0.461,0.5462962962962963,0.5660544039036622,0.9650950377364635,324
0.529,0.6265432098765432,0.6361913878840761,0.9848344724696415,324
0.596,0.7037037037037037,0.6966230949738654,1.0101641889006048,324
0.664,0.7530864197530864,0.7479581169573799,1.0068564036935224,324
0.731,0.8117283950617284,0.7911935481138229,1.0259542649164164,324
0.799,0.845679012345679,0.8286846318714367,1.0205076573410847,324
0.866,0.8734567901234568,0.865724693543878,1.0089313573209135,324
0.934,0.9259259259259259,0.8996790999889871,1.0291735419187353,324
1.001,0.9506172839506173,0.9311838906161314,1.0208695549078148,324
1.069,0.9660493827160493,0.9589861321721745,1.0073653312669664,324
1.136,0.9845679012345679,0.9772276204433977,1.0075113316873296,324
1.204,0.9907407407407407,0.989354896097185,1.0014007558349614,324
1.271,0.9907407407407407,0.9945106444261836,0.996209287747123,324
1.339,1.0,0.9974521149072796,1.0025543933935688,324
1.406,1.0,0.9988421168557221,1.0011592253918196,324
1.474,1.0,0.9998973255508586,1.0001026849922663,324
1.541,1.0,1.0,1.0,324
1.609,1.0,1.0,1.0,324
1.676,1.0,1.0,1.0,324
1.744,1.0,1.0,1.0,324
1.811,1.0,1.0,1.0,324
1.879,1.0,1.0,1.0,324
1.946,1.0,1.0,1.0,324
2.013,1.0,1.0,1.0,324
2.081,1.0,1.0,1.0,324
