cluster_id,cluster_size,cluster_area
0,5,0.0
1,3,13271.0
2,2,6640.0
3,2,6635.0
4,4,21048.0
5,4,18537.0
6,2,6634.0
7,2,6608.0
8,5,30330.0
9,2,6636.0
10,2,6635.0
11,2,6448.0
12,2,0.0
13,2,0.0
14,2,0.0
15,2,6607.0
16,2,6590.0
17,4,21960.0
18,2,0.0
19,2,0.0
20,3,11197.5
21,2,6624.0
22,3,13156.0
23,2,6389.0
24,3,0.0
25,2,0.0
26,2,5555.0
27,3,12747.5
28,3,12405.0
29,3,11684.0
30,2,6533.0
31,4,20041.0
32,5,27412.5
33,2,6469.0
34,2,6512.0
35,3,10657.0
36,3,10143.0
37,2,6401.0
38,3,12528.0
39,2,6426.0
40,2,6592.0
41,6,42264.0
42,2,6518.0
43,3,0.0
44,3,12791.0
45,4,21405.0
46,3,0.0
47,2,5132.0
48,2,5124.0
49,1,2212.0
50,2,5222.0
51,1,2212.0
52,2,0.0
53,1,0.0
54,2,5112.0
55,3,10126.0
56,4,0.0
57,2,0.0
58,4,17376.0
59,2,0.0
60,3,11709.5
61,2,6414.0
62,4,18294.5
63,2,6211.0
64,1,2212.0
65,2,6535.0
66,2,0.0
67,1,0.0
68,2,6343.0
69,3,12235.0
70,3,0.0
71,1,2212.0
72,2,5927.0
73,1,0.0
74,1,2212.0
75,2,6255.0
76,2,5982.0
77,1,2212.0
78,2,6156.0
79,2,5730.0
80,2,5906.0
81,2,6525.0
82,2,5928.0
83,2,5980.0
84,1,2212.0
85,1,2212.0
86,4,19343.0
87,2,5925.0
88,2,5943.0
89,1,0.0
90,3,10291.0
91,3,12093.0
92,2,6411.0
93,2,5142.0
94,1,0.0
95,1,0.0
96,1,0.0
97,1,2212.0
98,1,2212.0
99,1,0.0
100,1,2212.0
101,1,0.0
102,1,2212.0
103,1,0.0
104,1,2212.0
105,2,5380.0
106,2,5222.0
107,1,2212.0
108,1,2212.0
109,1,2212.0
110,1,2212.0
111,2,5760.0
112,2,5882.0
113,2,0.0
114,3,0.0
115,1,2212.0
116,2,6227.0
117,1,0.0
118,1,2212.0
119,1,0.0
120,1,2212.0
121,1,2212.0
122,1,2212.0
123,1,0.0
124,1,2212.0
125,1,2212.0
126,2,5980.0
127,2,6181.0
128,1,0.0
129,1,2212.0
130,1,2212.0
131,1,0.0
132,1,2212.0
133,2,6474.0
134,2,6505.0
135,1,2212.0
136,1,2212.0
137,2,6253.0
138,3,11771.0
139,1,2212.0
140,2,5913.0
141,1,2212.0
142,2,5831.0
143,1,2212.0
144,1,2212.0
145,1,2212.0
146,1,0.0
147,1,0.0
148,1,0.0
149,1,2212.0
150,1,2212.0
151,1,0.0
152,1,2212.0
153,3,0.0
154,2,5723.0
155,1,2212.0
156,1,0.0
157,1,2212.0
158,1,2212.0
159,1,2212.0
160,1,2212.0
161,2,5620.0
162,1,2212.0
163,1,2212.0
164,2,5042.0
165,1,2212.0
166,1,2212.0
167,1,2212.0
168,3,9603.5
169,1,0.0
170,1,2212.0
171,1,2212.0
172,1,0.0
173,2,6141.0
174,1,0.0
175,1,2212.0
176,2,5889.0
177,1,2212.0
178,1,2212.0
179,1,0.0
180,1,2212.0
181,1,2212.0
182,1,2212.0
183,3,11482.0
184,1,2212.0
185,1,2212.0
186,2,6056.0
187,1,2212.0
188,1,2212.0
189,1,2212.0
190,1,2212.0
191,1,2212.0
192,1,2212.0
193,1,2212.0
194,1,2212.0
195,1,2212.0
196,1,0.0
197,1,2212.0
198,1,0.0
199,1,2212.0
200,1,2212.0
201,1,2212.0
202,1,2212.0
203,1,2212.0
204,1,2212.0
205,1,0.0
206,1,2212.0
207,1,2212.0
208,1,0.0
209,1,0.0
210,1,2212.0
211,1,2212.0
212,1,2212.0
213,1,2212.0
214,1,2212.0
215,1,0.0
216,1,2212.0
217,1,2212.0
218,1,2212.0
219,1,2212.0
220,1,0.0
221,1,0.0
222,1,2212.0
223,1,2212.0
224,2,5583.0
225,1,2212.0
226,1,2212.0
227,1,2212.0
228,1,0.0
229,1,2212.0
230,1,2212.0
231,1,0.0
232,1,2212.0
233,1,2212.0
234,1,2212.0
235,1,2212.0
236,1,0.0
237,1,2212.0
238,1,0.0
239,1,2212.0
240,1,0.0
241,1,2212.0
242,1,0.0
243,1,2212.0
244,1,2212.0
245,1,2212.0
246,1,0.0
247,1,2212.0
248,1,2212.0
249,1,2212.0
250,1,0.0
251,1,0.0
252,1,2212.0
253,1,2212.0
254,1,2212.0
255,1,0.0
256,2,4960.0
257,1,2212.0
258,1,2212.0
259,1,2212.0
260,1,2212.0
261,1,2212.0
262,1,2212.0
263,1,2212.0
264,1,2212.0
265,1,2212.0
266,1,2212.0
267,1,2212.0
268,1,2212.0
269,1,0.0
270,2,0.0
271,1,0.0
272,1,2212.0
273,1,2212.0
274,1,2212.0
275,1,2212.0
276,1,0.0
277,1,2212.0
278,1,0.0
279,1,2212.0
280,1,2212.0
281,1,2212.0
282,1,0.0
283,1,0.0
284,1,2212.0
285,1,2212.0
286,1,0.0
287,1,0.0
288,1,2212.0
289,1,2212.0
290,1,2212.0
291,1,0.0
292,1,2212.0
293,1,2212.0
294,1,2212.0
295,1,0.0
296,1,2212.0
297,1,2212.0
298,1,2212.0
299,1,2212.0
300,1,0.0
301,1,2212.0
302,1,2212.0
303,1,0.0
304,1,0.0
305,1,0.0
306,1,0.0
307,3,10895.0
308,1,0.0
309,1,2212.0
310,1,2212.0
311,1,0.0
312,1,2212.0
313,1,2212.0
314,1,2212.0
315,1,2212.0
316,1,2212.0
317,1,2212.0
318,1,2212.0
319,1,0.0
320,1,2212.0
321,1,2212.0
322,1,2212.0
323,1,2212.0
324,1,2212.0
325,1,0.0
326,1,2212.0
327,1,0.0
328,1,2212.0
329,1,2212.0
330,1,2212.0
331,1,2212.0
332,1,2212.0
333,1,2212.0
334,1,2212.0
335,1,0.0
336,1,2212.0
337,1,2212.0
338,1,0.0
339,1,0.0
340,1,2212.0
341,1,0.0
342,1,0.0
343,1,2212.0
344,1,2212.0
345,1,2212.0
346,1,2212.0
347,1,2212.0
348,1,0.0
349,1,2212.0
350,1,2212.0
351,1,2212.0
352,1,2212.0
353,1,2212.0
354,1,2212.0
355,1,0.0
356,1,2212.0
357,1,2212.0
358,1,1001.0
359,1,2212.0
360,1,2212.0
361,1,2212.0
362,1,2212.0
363,1,2212.0
364,1,2212.0
365,1,0.0
366,1,2212.0
367,1,2212.0
368,2,0.0
369,1,2212.0
370,1,2212.0
371,1,0.0
372,1,16.0
373,1,0.0
374,1,2212.0
375,1,0.0
376,1,2212.0
377,1,2212.0
378,1,0.0
