radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.112,0.021604938271604937,0.025520869513651803,0.8465596464120422,324
0.18,0.10493827160493827,0.11525833806324814,0.9104614327108662,324
0.247,0.21604938271604937,0.23252560507611633,0.9291423309932962,324
0.315,0.37037037037037035,0.3588290707623493,1.0321637808873763,324
0.382,0.49074074074074076,0.47288344078005473,1.0377625825324506,324
0.45,0.5524691358024691,0.55351270299806,0.9981146463487858,324
0.517,0.6111111111111112,0.6254668214125361,0.977048006688821,324
0.585,0.6604938271604939,0.6873723981938785,0.9608966389921824,324
0.652,0.7191358024691358,0.739851748938946,0.9719998682174911,324
0.72,0.7623456790123457,0.7848116364375693,0.9713740770623618,324
0.787,0.8209876543209876,0.822664622213939,0.9979615412554896,324
