og_coord,starfish_coord,dist
"(1741.0, 170.0)","(1743.0, 172.0)",2.828
"(3096.0, 3150.0)","(3097.0, 3155.0)",5.099
"(1478.0, 1399.0)","(1484.0, 1396.0)",6.708
"(2017.0, 3660.0)","(2021.0, 3654.0)",7.211
"(1324.0, 595.0)","(1315.0, 597.0)",9.22
"(2028.0, 3648.0)","(2021.0, 3654.0)",9.22
"(2361.0, 3518.0)","(2364.0, 3509.0)",9.487
"(2396.0, 3469.0)","(2401.0, 3459.0)",11.18
"(3407.0, 2253.0)","(3417.0, 2247.0)",11.662
"(1813.0, 2198.0)","(1825.0, 2193.0)",13.0
"(1440.0, 872.0)","(1428.0, 866.0)",13.416
"(3412.0, 2234.0)","(3417.0, 2247.0)",13.928
"(1814.0, 2182.0)","(1825.0, 2193.0)",15.556
"(2079.0, 2842.0)","(2092.0, 2852.0)",16.401
"(1055.0, 87.0)","(1050.0, 71.0)",16.763
"(130.0, 452.0)","(131.0, 435.0)",17.029
"(3465.0, 2650.0)","(3451.0, 2639.0)",17.804
"(2702.0, 1667.0)","(2694.0, 1683.0)",17.889
"(3322.0, 3686.0)","(3306.0, 3695.0)",18.358
"(925.0, 650.0)","(939.0, 663.0)",19.105
"(1709.0, 1700.0)","(1728.0, 1704.0)",19.416
"(1446.0, 856.0)","(1428.0, 866.0)",20.591
"(1209.0, 2444.0)","(1191.0, 2433.0)",21.095
"(2169.0, 2677.0)","(2166.0, 2698.0)",21.213
"(2912.0, 28.0)","(2934.0, 25.0)",22.204
"(3414.0, 1191.0)","(3422.0, 1212.0)",22.472
"(3332.0, 2166.0)","(3334.0, 2143.0)",23.087
"(536.0, 1759.0)","(513.0, 1756.0)",23.195
"(3236.0, 2006.0)","(3258.0, 1997.0)",23.77
"(3079.0, 3139.0)","(3097.0, 3155.0)",24.083
"(3321.0, 2264.0)","(3309.0, 2243.0)",24.187
"(1574.0, 3173.0)","(1549.0, 3168.0)",25.495
"(3385.0, 2184.0)","(3379.0, 2159.0)",25.71
"(1995.0, 2442.0)","(1969.0, 2443.0)",26.019
"(1005.0, 119.0)","(1025.0, 138.0)",27.586
"(786.0, 1450.0)","(807.0, 1432.0)",27.659
"(703.0, 491.0)","(729.0, 501.0)",27.857
"(3011.0, 541.0)","(2985.0, 551.0)",27.857
"(1255.0, 190.0)","(1234.0, 171.0)",28.32
"(1331.0, 573.0)","(1315.0, 597.0)",28.844
"(508.0, 42.0)","(535.0, 31.0)",29.155
