og_centroid,closest_centroid,dist,cluster_id
"(3992.052, 5674.262)","(3958.715, 5571.064)",108.449,61
"(3958.715, 5571.064)","(3992.052, 5674.262)",108.449,30
"(4051.171, 1342.093)","(4157.851, 1308.385)",111.879,37
"(4157.851, 1308.385)","(4051.171, 1342.093)",111.879,14
"(3411.091, 2854.577)","(3527.372, 2892.982)",122.459,100
"(3527.372, 2892.982)","(3411.091, 2854.577)",122.459,58
"(1554.267, 4986.991)","(1483.962, 5115.081)",146.116,49
"(1483.962, 5115.081)","(1554.267, 4986.991)",146.116,21
"(1705.694, 4959.728)","(1554.267, 4986.991)",153.861,126
"(2007.065, 9183.365)","(1980.135, 9343.385)",162.27,42
"(1980.135, 9343.385)","(2007.065, 9183.365)",162.27,0
"(4565.013, 1840.229)","(4486.336, 1689.321)",170.186,5
"(4486.336, 1689.321)","(4565.013, 1840.229)",170.186,114
"(3554.022, 5305.055)","(3696.993, 5211.671)",170.767,82
"(3696.993, 5211.671)","(3554.022, 5305.055)",170.767,57
"(2003.805, 7181.042)","(1858.898, 7090.364)",170.94,34
"(1858.898, 7090.364)","(2003.805, 7181.042)",170.94,7
"(4800.399, 1833.018)","(4969.863, 1856.942)",171.144,48
"(4969.863, 1856.942)","(4800.399, 1833.018)",171.144,20
"(3731.004, 2922.903)","(3769.153, 2751.043)",176.043,113
"(3769.153, 2751.043)","(3731.004, 2922.903)",176.043,22
"(3278.274, 2737.052)","(3411.091, 2854.577)",177.348,45
"(969.428, 9247.321)","(1055.242, 9417.468)",190.563,6
"(1055.242, 9417.468)","(969.428, 9247.321)",190.563,11
"(5035.589, 2520.907)","(5179.089, 2646.33)",190.586,28
"(5179.089, 2646.33)","(5035.589, 2520.907)",190.586,47
"(4789.707, 2028.252)","(4800.399, 1833.018)",195.527,63
"(1238.554, 9861.316)","(1253.785, 9664.907)",196.999,54
"(1253.785, 9664.907)","(1238.554, 9861.316)",196.999,52
"(1050.959, 9953.239)","(1238.554, 9861.316)",208.906,19
"(3808.474, 3857.962)","(3977.917, 3993.919)",217.245,27
"(3977.917, 3993.919)","(3808.474, 3857.962)",217.245,55
"(4889.497, 2352.886)","(5035.589, 2520.907)",222.652,40
"(3789.729, 4113.147)","(3977.917, 3993.919)",222.778,1
"(926.499, 9601.478)","(1055.242, 9417.468)",224.576,3
"(3021.074, 4911.849)","(3076.728, 5148.887)",243.484,66
"(3076.728, 5148.887)","(3021.074, 4911.849)",243.484,38
"(2193.718, 5689.264)","(2020.963, 5882.154)",258.942,43
"(2020.963, 5882.154)","(2193.718, 5689.264)",258.942,8
"(2760.166, 4951.194)","(3021.074, 4911.849)",263.858,103
"(795.21, 9866.562)","(1050.959, 9953.239)",270.037,32
"(2721.08, 5226.28)","(2760.166, 4951.194)",277.849,29
"(4610.292, 2247.984)","(4789.707, 2028.252)",283.675,53
"(1161.477, 8098.075)","(970.342, 8310.368)",285.659,17
"(970.342, 8310.368)","(1161.477, 8098.075)",285.659,31
"(2912.164, 5456.185)","(2721.08, 5226.28)",298.948,4
"(1820.671, 6108.76)","(2020.963, 5882.154)",302.435,23
"(3867.839, 4411.71)","(3789.729, 4113.147)",308.612,13
"(920.411, 8799.317)","(1222.522, 8732.198)",309.477,107
"(1222.522, 8732.198)","(920.411, 8799.317)",309.477,10
"(3939.49, 3157.837)","(3731.004, 2922.903)",314.103,2
"(1324.313, 8429.493)","(1222.522, 8732.198)",319.361,97
"(3254.627, 3641.875)","(2979.845, 3806.858)",320.506,18
"(2979.845, 3806.858)","(3254.627, 3641.875)",320.506,12
"(3470.476, 4980.708)","(3696.993, 5211.671)",323.502,15
"(1943.353, 6411.732)","(1820.671, 6108.76)",326.867,56
"(3742.371, 2418.206)","(3769.153, 2751.043)",333.913,26
"(3347.083, 2406.818)","(3278.274, 2737.052)",337.326,90
"(1624.424, 7516.713)","(1313.274, 7648.73)",337.998,35
"(1313.274, 7648.73)","(1624.424, 7516.713)",337.998,51
"(2383.941, 5075.298)","(2721.08, 5226.28)",369.402,9
"(4047.437, 2174.671)","(3742.371, 2418.206)",390.353,89
"(3468.654, 3296.855)","(3254.627, 3641.875)",406.013,46
"(2911.14, 4212.413)","(2979.845, 3806.858)",411.334,16
