 ,X,Y
320,4.151,4.47
321,4.139,4.472
322,4.111,4.574
323,4.092,4.574
324,4.071,4.614
325,4.069,4.667
326,4.064,4.645
327,4.053,4.642
328,4.295,4.916
329,4.291,4.965
330,4.368,4.977
331,4.352,4.974
332,4.357,5.028
333,4.342,4.988
334,4.322,4.998
335,3.839,5.363
336,3.724,5.345
337,3.984,5.079
338,4.271,4.301
339,4.417,4.921
340,4.413,4.896
341,4.18,5.883
342,4.171,5.873
343,4.025,5.99
344,4.041,5.985
345,4.041,5.964
346,4.139,5.845
347,4.137,5.877
348,4.485,6.395
349,4.472,6.412
350,4.505,6.374
351,4.5,6.35
352,3.012,5.892
353,3.041,5.91
354,3.057,5.914
355,3.071,5.578
356,2.508,5.686
357,2.423,5.565
358,2.401,5.559
359,3.361,5.473
360,3.395,5.527
361,3.343,5.523
362,3.409,5.493
363,3.447,5.511
364,3.105,5.569
365,3.105,5.556
366,3.119,5.56
367,3.124,5.584
368,2.605,5.276
369,2.571,5.545
370,3.231,4.805
371,3.251,4.766
372,3.298,4.805
373,3.287,4.785
374,3.279,4.762
375,3.27,4.698
376,3.296,4.649
377,3.285,4.637
378,3.416,4.306
379,3.387,4.319
380,3.391,4.36
381,3.375,4.293
382,3.374,4.265
383,3.343,4.279
384,3.325,4.303
385,3.323,4.266
386,3.256,4.285
387,3.14,4.294
388,3.1,4.276
389,3.333,4.217
390,3.348,4.211
391,3.36,4.135
392,3.366,4.099
393,2.463,5.411
394,3.944,3.218
395,3.937,3.199
396,4.26,3.102
397,4.286,3.082
398,4.236,3.105
399,4.236,3.154
400,4.215,3.166
401,4.218,3.143
402,4.512,3.265
403,4.457,3.277
404,4.374,3.295
405,4.208,2.999
406,4.179,3.034
407,4.177,2.997
408,3.642,2.785
409,3.769,2.718
410,3.786,2.682
411,3.74,2.722
412,4.083,2.708
413,4.116,2.677
414,3.677,3.07
415,3.714,3.065
416,3.721,3.052
417,3.678,3.101
418,3.648,3.106
419,5.474,2.627
420,5.519,2.632
421,5.293,2.756
422,5.507,2.681
423,4.965,2.762
424,4.983,2.734
425,5.172,2.577
426,5.178,2.543
427,5.227,2.568
428,5.207,2.55
429,5.241,2.55
430,5.235,2.538
431,5.216,2.524
432,5.239,2.509
433,5.213,2.483
434,5.164,2.491
435,5.159,2.462
436,5.128,2.477
437,5.122,2.542
438,5.158,2.533
439,4.815,2.387
440,4.771,2.385
441,5.042,2.173
442,5.072,2.119
443,4.753,2.01
444,5.105,2.029
445,5.114,2.059
446,5.14,2.077
447,5.169,2.025
448,5.203,2.063
449,5.235,2.015
450,5.343,2.045
451,5.356,2.024
452,5.426,2.123
453,5.396,2.104
454,5.434,2.079
455,5.39,2.061
456,5.394,2.025
457,5.421,2.042
458,5.438,2.054
459,5.555,2.01
460,5.586,2.068
461,5.587,2.128
462,5.61,2.132
463,5.614,2.106
464,5.016,1.903
465,5.047,1.923
466,5.088,1.902
467,4.983,1.61
468,5.438,2.282
469,5.417,2.265
470,5.357,2.284
471,5.339,2.295
472,5.691,2.408
473,5.697,2.373
474,4.582,2.425
475,4.55,1.519
476,4.55,1.483
477,4.729,1.479
478,4.706,1.464
479,4.634,1.481
480,4.639,1.463
481,5.815,2.857
482,5.804,2.859
483,5.623,2.793
484,5.668,2.85
485,5.702,2.864
486,5.825,2.964
487,5.807,2.938
488,5.85,2.997
489,5.821,3.008
490,5.707,2.774
491,5.449,2.483
492,4.305,3.153
493,4.32,3.119
494,4.266,2.756
495,4.32,2.684
496,4.233,2.795
497,4.218,2.764
498,4.189,2.82
499,4.187,2.791
500,4.266,2.676
501,4.236,2.682
502,4.198,2.662
503,4.208,3.278
504,4.227,3.277
505,4.012,4.97
506,3.8,5.595
507,3.846,5.664
508,3.98,5.908
509,4.439,6.296
510,3.259,6.114
511,3.242,6.111
512,3.404,5.761
513,3.476,5.83
514,3.468,5.797
515,3.101,5.838
516,3.075,5.876
517,3.079,5.843
518,2.669,5.699
519,2.634,5.68
520,2.745,5.735
521,2.669,5.735
522,2.691,5.696
523,3.224,5.416
524,2.089,5.488
525,2.191,5.493
526,1.918,5.597
527,1.916,5.577
528,1.922,5.563
529,1.775,5.646
530,1.743,5.609
531,1.727,5.574
532,1.65,5.738
533,1.68,5.704
534,1.694,5.767
535,1.653,5.806
536,1.221,9.313
537,1.55,9.322
538,1.536,9.3
539,1.485,9.593
540,1.019,10.712
541,1.045,10.761
542,1.172,10.636
543,1.123,10.81
544,0.898,11.137
545,1.163,11.195
546,1.166,11.249
