og_coord,starfish_coord,dist
"(2233.32, 1040.736)","(2228.0, 1064.0)",23.865
"(3908.088, 3958.704)","(3887.0, 3935.0)",31.727
"(5067.816, 5359.08)","(5082.0, 5393.0)",36.766
"(2213.784, 1030.08)","(2228.0, 1064.0)",36.779
"(5106.0, 5352.864)","(5082.0, 5393.0)",46.764
"(7890.768, 7040.064)","(7865.0, 7001.0)",46.797
"(6577.416, 5979.792)","(6610.0, 6020.0)",51.753
"(2848.704, 2978.352)","(2897.0, 2998.0)",52.14
"(3889.44, 3993.336)","(3887.0, 3935.0)",58.387
"(4331.664, 4347.648)","(4377.0, 4386.0)",59.382
"(3927.624, 3979.128)","(3887.0, 3935.0)",59.98
"(6588.072, 5962.032)","(6610.0, 6020.0)",61.977
"(5065.152, 5329.776)","(5082.0, 5393.0)",65.43
"(3921.408, 3991.56)","(3887.0, 3935.0)",66.204
"(6551.664, 5976.24)","(6610.0, 6020.0)",72.925
"(6715.056, 6052.608)","(6645.0, 6073.0)",72.964
"(4308.576, 4352.976)","(4377.0, 4386.0)",75.976
"(3919.632, 4009.32)","(3887.0, 3935.0)",81.168
"(4662.0, 5089.128)","(4574.0, 5079.0)",88.581
"(4305.912, 4331.664)","(4377.0, 4386.0)",89.476
"(4668.216, 5100.672)","(4574.0, 5079.0)",96.676
"(6713.28, 6199.128)","(6758.0, 6285.0)",96.819
"(5128.2, 4966.584)","(5078.0, 4883.0)",97.5
"(6238.2, 6623.592)","(6319.0, 6681.0)",99.118
"(4953.264, 5779.104)","(4909.0, 5686.0)",103.091
"(4677.096, 5065.152)","(4574.0, 5079.0)",104.022
"(5119.32, 4979.904)","(5078.0, 4883.0)",105.346
"(4993.224, 5758.68)","(4963.0, 5653.0)",109.917
"(6722.16, 6176.04)","(6758.0, 6285.0)",114.703
"(5160.168, 4963.92)","(5078.0, 4883.0)",115.324
"(2804.304, 3115.992)","(2902.0, 3046.0)",120.181
"(5172.6, 5310.24)","(5082.0, 5393.0)",122.709
"(5139.744, 4990.56)","(5078.0, 4883.0)",124.022
"(6198.24, 6628.032)","(6319.0, 6681.0)",131.866
"(4187.808, 4779.216)","(4118.0, 4663.0)",135.57
"(7787.76, 7112.88)","(7865.0, 7001.0)",135.953
"(3922.296, 5215.224)","(4050.0, 5161.0)",138.739
"(5214.336, 5338.656)","(5082.0, 5393.0)",143.06
"(3885.888, 3348.648)","(3916.0, 3203.0)",148.728
"(2529.912, 2037.072)","(2564.0, 2184.0)",150.83
"(5185.032, 5280.936)","(5082.0, 5393.0)",152.23
"(2710.176, 2140.08)","(2564.0, 2184.0)",152.632
"(2419.8, 2242.2)","(2564.0, 2184.0)",155.502
"(4795.2, 4505.712)","(4769.0, 4660.0)",156.497
"(1408.368, 1056.72)","(1418.0, 900.0)",157.016
"(7237.2, 7281.6)","(7251.0, 7115.0)",167.171
"(2559.216, 2013.096)","(2564.0, 2184.0)",170.971
"(2746.584, 2391.384)","(2916.0, 2423.0)",172.341
"(1403.928, 1073.592)","(1418.0, 900.0)",174.161
"(3147.072, 3638.136)","(3168.0, 3812.0)",175.119
"(2411.808, 2272.392)","(2564.0, 2184.0)",175.999
"(5245.416, 5310.24)","(5082.0, 5393.0)",183.178
"(3145.296, 3623.928)","(3168.0, 3812.0)",189.437
"(4335.216, 4193.136)","(4525.0, 4212.0)",190.719
"(4081.248, 4085.688)","(4149.0, 3905.0)",192.973
"(1416.36, 1094.016)","(1418.0, 900.0)",194.023
"(1401.264, 1094.904)","(1418.0, 900.0)",195.621
"(6141.408, 5685.864)","(6337.0, 5650.0)",198.853
"(4331.664, 4164.72)","(4525.0, 4212.0)",199.033
"(4715.28, 5350.2)","(4525.0, 5289.0)",199.88
"(3044.064, 1924.296)","(2855.0, 1850.0)",203.138
"(3093.792, 3615.936)","(3168.0, 3812.0)",209.638
"(3866.352, 3502.272)","(3985.0, 3677.0)",211.204
"(3126.648, 3599.952)","(3168.0, 3812.0)",216.042
"(6673.32, 6740.808)","(6865.0, 6640.0)",216.572
"(3060.936, 1942.056)","(2855.0, 1850.0)",225.575
"(2690.64, 2381.616)","(2916.0, 2423.0)",229.128
"(6650.232, 6724.824)","(6865.0, 6640.0)",230.912
"(3769.56, 3591.96)","(3985.0, 3677.0)",231.616
"(4407.144, 4847.592)","(4529.0, 4644.0)",237.273
"(3863.688, 3440.112)","(3916.0, 3203.0)",242.814
"(4755.24, 5380.392)","(4525.0, 5289.0)",247.715
"(3852.144, 3462.312)","(3985.0, 3677.0)",252.471
"(3009.432, 2172.048)","(2916.0, 2423.0)",267.781
"(6938.832, 6080.136)","(7019.0, 6337.0)",269.084
"(7238.088, 7387.272)","(7251.0, 7115.0)",272.578
"(6943.272, 6067.704)","(7019.0, 6337.0)",279.741
"(2996.112, 2148.96)","(2916.0, 2423.0)",285.51
"(5629.032, 5827.056)","(5782.0, 6111.0)",322.527
"(2682.648, 1458.096)","(2477.0, 1725.0)",336.94
"(8095.896, 7325.112)","(7865.0, 7001.0)",397.947
