og_coord,closest_coord,dist
"(0.555, 1.157)","(0.55, 1.178)",0.022
"(0.55, 1.178)","(0.555, 1.157)",0.022
"(1.683, 1.117)","(1.677, 1.096)",0.022
"(1.692, 1.076)","(1.67, 1.076)",0.022
"(1.361, 1.841)","(1.342, 1.831)",0.022
"(1.342, 1.831)","(1.361, 1.841)",0.022
"(1.858, 1.781)","(1.837, 1.774)",0.023
"(1.708, 1.098)","(1.729, 1.089)",0.023
"(2.001, 2.65)","(2.023, 2.657)",0.023
"(2.023, 2.657)","(2.001, 2.65)",0.023
"(2.323, 1.324)","(2.335, 1.304)",0.023
"(2.335, 1.304)","(2.323, 1.324)",0.023
"(1.655, 1.1)","(1.677, 1.096)",0.023
"(0.993, 2.403)","(0.978, 2.386)",0.023
"(0.666, 1.533)","(0.688, 1.542)",0.023
"(0.688, 1.542)","(0.666, 1.533)",0.023
"(0.967, 2.299)","(0.945, 2.309)",0.024
"(0.945, 2.309)","(0.967, 2.299)",0.024
"(1.208, 2.824)","(1.196, 2.804)",0.024
"(1.196, 2.804)","(1.208, 2.824)",0.024
"(0.697, 1.5)","(0.703, 1.523)",0.024
"(0.703, 1.523)","(0.697, 1.5)",0.024
"(1.265, 1.924)","(1.241, 1.926)",0.024
"(1.241, 1.926)","(1.265, 1.924)",0.024
"(2.079, 2.072)","(2.054, 2.07)",0.024
"(2.054, 2.07)","(2.079, 2.072)",0.024
"(3.383, 3.76)","(3.395, 3.739)",0.024
"(3.395, 3.739)","(3.383, 3.76)",0.024
"(2.847, 1.312)","(2.869, 1.3)",0.024
"(2.869, 1.3)","(2.847, 1.312)",0.024
"(1.35, 2.58)","(1.33, 2.566)",0.025
"(1.33, 2.566)","(1.35, 2.58)",0.025
"(1.275, 1.647)","(1.254, 1.634)",0.025
"(1.254, 1.634)","(1.275, 1.647)",0.025
"(1.288, 1.894)","(1.276, 1.872)",0.025
"(1.276, 1.872)","(1.288, 1.894)",0.025
"(1.245, 2.451)","(1.24, 2.476)",0.025
"(1.24, 2.476)","(1.245, 2.451)",0.025
"(1.359, 2.614)","(1.382, 2.602)",0.025
"(2.568, 3.59)","(2.545, 3.602)",0.026
"(1.331, 2.665)","(1.35, 2.682)",0.026
"(1.35, 2.682)","(1.331, 2.665)",0.026
"(1.389, 1.824)","(1.375, 1.802)",0.026
"(1.375, 1.802)","(1.389, 1.824)",0.026
"(1.381, 2.249)","(1.399, 2.268)",0.026
"(1.399, 2.268)","(1.381, 2.249)",0.026
"(1.498, 1.109)","(1.497, 1.136)",0.027
"(1.497, 1.136)","(1.498, 1.109)",0.027
"(0.442, 1.161)","(0.438, 1.188)",0.027
"(0.438, 1.188)","(0.442, 1.161)",0.027
"(1.736, 1.13)","(1.734, 1.104)",0.027
"(1.669, 1.201)","(1.648, 1.184)",0.027
"(0.495, 0.968)","(0.513, 0.988)",0.027
"(0.513, 0.988)","(0.495, 0.968)",0.027
"(1.287, 1.278)","(1.298, 1.254)",0.027
"(1.017, 2.362)","(1.02, 2.335)",0.027
"(1.02, 2.335)","(1.017, 2.362)",0.027
"(1.44, 1.184)","(1.465, 1.196)",0.027
"(2.007, 2.196)","(2.008, 2.169)",0.027
"(1.86, 2.143)","(1.85, 2.118)",0.028
"(1.85, 2.118)","(1.86, 2.143)",0.028
"(0.892, 0.916)","(0.883, 0.943)",0.028
"(2.286, 1.219)","(2.282, 1.246)",0.028
"(2.282, 1.246)","(2.286, 1.219)",0.028
"(1.261, 2.494)","(1.24, 2.476)",0.028
"(0.492, 2.55)","(0.492, 2.579)",0.028
