radius,%_gp_captured,%_pface_covered,SC3PA,total_gp
100,0.1728395061728395,0.09918886245355926,1.7425293717201753,81
160,0.30864197530864196,0.21516100039263597,1.4344698841584558,81
220,0.4074074074074074,0.3496835858519549,1.1650744384092735,81
280,0.49382716049382713,0.48046920309369856,1.0278019013791475,81
340,0.654320987654321,0.5867676231146737,1.1151279686855613,81
400,0.7283950617283951,0.6658010342515447,1.0940131124116006,81
460,0.8024691358024691,0.7260877143396489,1.105195859886276,81
520,0.8518518518518519,0.7753916142411144,1.0986085433559531,81
580,0.8641975308641975,0.8144626500633407,1.061064655079013,81
640,0.8888888888888888,0.8488308069754811,1.0471920688837166,81
700,0.9135802469135802,0.8794216775997556,1.0388420824547504,81
