cluster_id,cluster_size,cluster_area
0,4,24493.0
1,3,16769.5
2,3,17477.0
3,5,35006.5
4,2,9156.0
5,2,10344.0
6,2,9583.0
7,2,9837.0
8,4,23891.0
9,2,8882.0
10,2,8836.0
11,3,15293.0
12,2,10063.0
13,2,9056.0
14,2,9486.0
15,2,9667.0
16,1,3528.0
17,4,20580.5
18,2,8672.0
19,1,3528.0
20,1,3528.0
21,1,3528.0
22,1,3528.0
23,1,3528.0
24,2,8530.0
25,3,14679.0
26,3,14063.5
27,1,3528.0
28,1,3528.0
29,2,7984.0
30,2,8640.0
31,2,8950.0
32,1,3528.0
33,1,3528.0
34,1,3528.0
35,1,3528.0
36,1,3528.0
37,1,3528.0
38,1,3528.0
39,1,3528.0
40,1,3528.0
41,1,3528.0
42,1,3528.0
